,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,ADM2_EN32,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
34,2009-10-01,1.0,Malawi,Southern,Blantyre City,1.0,1.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,2009-10-01,2.0,Malawi,Southern,Chikwawa,3.0,3.0,Chikwawa,601250,576067,0.0,576067.0,0.0,0.0,0.0,576067.0,0.0,0.0,576067.0,0.0,0.0,576067.0,0.0,0.0,576067.0,0.0,0.0,576067.0
36,2009-10-01,1.0,Malawi,Southern,Chiradzulu,1.0,1.0,Chiradzulu,336023,321948,321948.0,0.0,0.0,0.0,0.0,321948.0,321948.0,0.0,0.0,0.0,0.0,321948.0,321948.0,0.0,0.0,0.0,0.0,321948.0
37,2009-10-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,230861,230861.0,0.0,0.0,0.0,0.0,230861.0,230861.0,0.0,0.0,0.0,0.0,230861.0,230861.0,0.0,0.0,0.0,0.0,230861.0
38,2009-10-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,773006,773006.0,0.0,0.0,0.0,0.0,773006.0,773006.0,0.0,0.0,0.0,0.0,773006.0,773006.0,0.0,0.0,0.0,0.0,773006.0
39,2009-10-01,1.0,Malawi,Central,Dowa,1.0,1.0,Dowa,901973,864194,864194.0,0.0,0.0,0.0,0.0,864194.0,864194.0,0.0,0.0,0.0,0.0,864194.0,864194.0,0.0,0.0,0.0,0.0,864194.0
40,2009-10-01,1.0,Malawi,Northern,Karonga,1.0,1.0,Karonga,381993,365993,365993.0,0.0,0.0,0.0,0.0,365993.0,365993.0,0.0,0.0,0.0,0.0,365993.0,365993.0,0.0,0.0,0.0,0.0,365993.0
41,2009-10-01,1.0,Malawi,Central,Kasungu,1.0,1.0,Kasungu,963875,923503,923503.0,0.0,0.0,0.0,0.0,923503.0,923503.0,0.0,0.0,0.0,0.0,923503.0,923503.0,0.0,0.0,0.0,0.0,923503.0
42,2009-10-01,1.0,Malawi,Central,Lilongwe,1.0,1.0,Lilongwe,1295147,1240900,1240900.0,0.0,0.0,0.0,0.0,1240900.0,1240900.0,0.0,0.0,0.0,0.0,1240900.0,1240900.0,0.0,0.0,0.0,0.0,1240900.0
43,2009-10-01,1.0,Malawi,Central,Lilongwe City,1.0,1.0,Lilongwe City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,2009-10-01,1.0,Malawi,Southern,Machinga,1.0,1.0,Machinga,689935,661037,661037.0,0.0,0.0,0.0,0.0,661037.0,661037.0,0.0,0.0,0.0,0.0,661037.0,661037.0,0.0,0.0,0.0,0.0,661037.0
45,2009-10-01,1.0,Malawi,Southern,Mangochi,1.0,1.0,Mangochi,1172776,1123655,1123655.0,0.0,0.0,0.0,0.0,1123655.0,1123655.0,0.0,0.0,0.0,0.0,1123655.0,1123655.0,0.0,0.0,0.0,0.0,1123655.0
46,2009-10-01,1.0,Malawi,Central,Mchinji,1.0,1.0,Mchinji,678901,650465,650465.0,0.0,0.0,0.0,0.0,650465.0,650465.0,0.0,0.0,0.0,0.0,650465.0,650465.0,0.0,0.0,0.0,0.0,650465.0
47,2009-10-01,1.0,Malawi,Southern,Mulanje,1.0,1.0,Mulanje,603721,578434,578434.0,0.0,0.0,0.0,0.0,578434.0,578434.0,0.0,0.0,0.0,0.0,578434.0,578434.0,0.0,0.0,0.0,0.0,578434.0
48,2009-10-01,1.0,Malawi,Southern,Mwanza,1.0,1.0,Mwanza,110540,105910,105910.0,0.0,0.0,0.0,0.0,105910.0,105910.0,0.0,0.0,0.0,0.0,105910.0,105910.0,0.0,0.0,0.0,0.0,105910.0
49,2009-10-01,1.0,Malawi,Northern,Mzimba,1.0,1.0,Mzimba,288517,276432,276432.0,0.0,0.0,0.0,0.0,276432.0,276432.0,0.0,0.0,0.0,0.0,276432.0,276432.0,0.0,0.0,0.0,0.0,276432.0
50,2009-10-01,1.0,Malawi,Northern,Mzuzu City,1.0,1.0,Mzuzu City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2009-10-01,1.0,Malawi,Southern,Neno,1.0,1.0,Neno,181483,173881,173881.0,0.0,0.0,0.0,0.0,173881.0,173881.0,0.0,0.0,0.0,0.0,173881.0,173881.0,0.0,0.0,0.0,0.0,173881.0
52,2009-10-01,1.0,Malawi,Northern,Nkhata Bay,1.0,1.0,Nkhata Bay,306040,293221,293221.0,0.0,0.0,0.0,0.0,293221.0,293221.0,0.0,0.0,0.0,0.0,293221.0,293221.0,0.0,0.0,0.0,0.0,293221.0
53,2009-10-01,1.0,Malawi,Central,Nkhotakota,1.0,1.0,Nkhotakota,430507,412475,412475.0,0.0,0.0,0.0,0.0,412475.0,412475.0,0.0,0.0,0.0,0.0,412475.0,412475.0,0.0,0.0,0.0,0.0,412475.0
54,2009-10-01,2.0,Malawi,Southern,Nsanje,2.0,3.0,Nsanje,311427,298383,0.0,298383.0,0.0,0.0,0.0,298383.0,0.0,298383.0,0.0,0.0,0.0,298383.0,0.0,0.0,298383.0,0.0,0.0,298383.0
55,2009-10-01,1.0,Malawi,Central,Ntcheu,1.0,1.0,Ntcheu,636637,609972,609972.0,0.0,0.0,0.0,0.0,609972.0,609972.0,0.0,0.0,0.0,0.0,609972.0,609972.0,0.0,0.0,0.0,0.0,609972.0
56,2009-10-01,1.0,Malawi,Central,Ntchisi,1.0,1.0,Ntchisi,326512,312836,312836.0,0.0,0.0,0.0,0.0,312836.0,312836.0,0.0,0.0,0.0,0.0,312836.0,312836.0,0.0,0.0,0.0,0.0,312836.0
57,2009-10-01,1.0,Malawi,Southern,Phalombe,1.0,1.0,Phalombe,415009,397626,397626.0,0.0,0.0,0.0,0.0,397626.0,397626.0,0.0,0.0,0.0,0.0,397626.0,397626.0,0.0,0.0,0.0,0.0,397626.0
58,2009-10-01,1.0,Malawi,Northern,Rumphi,1.0,1.0,Rumphi,231876,222164,222164.0,0.0,0.0,0.0,0.0,222164.0,222164.0,0.0,0.0,0.0,0.0,222164.0,222164.0,0.0,0.0,0.0,0.0,222164.0
59,2009-10-01,1.0,Malawi,Central,Salima,1.0,1.0,Salima,472065,452292,452292.0,0.0,0.0,0.0,0.0,452292.0,452292.0,0.0,0.0,0.0,0.0,452292.0,452292.0,0.0,0.0,0.0,0.0,452292.0
60,2009-10-01,1.0,Malawi,Southern,Thyolo,1.0,1.0,Thyolo,691915,662934,662934.0,0.0,0.0,0.0,0.0,662934.0,662934.0,0.0,0.0,0.0,0.0,662934.0,662934.0,0.0,0.0,0.0,0.0,662934.0
61,2009-10-01,1.0,Malawi,Southern,Zomba,1.0,1.0,Zomba,174816,167493,167493.0,0.0,0.0,0.0,0.0,167493.0,167493.0,0.0,0.0,0.0,0.0,167493.0,167493.0,0.0,0.0,0.0,0.0,167493.0
62,2009-10-01,1.0,Malawi,Southern,Zomba City,1.0,1.0,Zomba City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2009-10-01,,Malawi,Northern,Likoma,,,Likoma,10508,10067,,,,,,,,,,,,,,,,,,
64,2010-01-01,1.0,Malawi,Southern,Balaka,1.0,1.0,Balaka,451465,445153,445153.0,0.0,0.0,0.0,0.0,445153.0,445153.0,0.0,0.0,0.0,0.0,445153.0,445153.0,0.0,0.0,0.0,0.0,445153.0
65,2010-01-01,1.0,Malawi,Southern,Blantyre,1.0,1.0,Blantyre,1033105,1018661,1018661.0,0.0,0.0,0.0,0.0,1018661.0,1018661.0,0.0,0.0,0.0,0.0,1018661.0,1018661.0,0.0,0.0,0.0,0.0,1018661.0
66,2010-01-01,1.0,Malawi,Southern,Blantyre City,1.0,1.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2010-01-01,2.0,Malawi,Southern,Chikwawa,2.0,1.0,Chikwawa,601250,592844,0.0,592844.0,0.0,0.0,0.0,592844.0,0.0,592844.0,0.0,0.0,0.0,592844.0,592844.0,0.0,0.0,0.0,0.0,592844.0
68,2010-01-01,1.0,Malawi,Southern,Chiradzulu,1.0,1.0,Chiradzulu,336023,331325,331325.0,0.0,0.0,0.0,0.0,331325.0,331325.0,0.0,0.0,0.0,0.0,331325.0,331325.0,0.0,0.0,0.0,0.0,331325.0
69,2010-01-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,237585,237585.0,0.0,0.0,0.0,0.0,237585.0,237585.0,0.0,0.0,0.0,0.0,237585.0,237585.0,0.0,0.0,0.0,0.0,237585.0
70,2010-01-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,795519,795519.0,0.0,0.0,0.0,0.0,795519.0,795519.0,0.0,0.0,0.0,0.0,795519.0,795519.0,0.0,0.0,0.0,0.0,795519.0
71,2010-01-01,1.0,Malawi,Central,Dowa,1.0,1.0,Dowa,901973,889362,889362.0,0.0,0.0,0.0,0.0,889362.0,889362.0,0.0,0.0,0.0,0.0,889362.0,889362.0,0.0,0.0,0.0,0.0,889362.0
72,2010-01-01,1.0,Malawi,Northern,Karonga,1.0,1.0,Karonga,381993,376652,376652.0,0.0,0.0,0.0,0.0,376652.0,376652.0,0.0,0.0,0.0,0.0,376652.0,376652.0,0.0,0.0,0.0,0.0,376652.0
73,2010-01-01,1.0,Malawi,Central,Kasungu,1.0,1.0,Kasungu,963875,950399,950399.0,0.0,0.0,0.0,0.0,950399.0,950399.0,0.0,0.0,0.0,0.0,950399.0,950399.0,0.0,0.0,0.0,0.0,950399.0
74,2010-01-01,1.0,Malawi,Central,Lilongwe,1.0,1.0,Lilongwe,1295147,1277039,1277039.0,0.0,0.0,0.0,0.0,1277039.0,1277039.0,0.0,0.0,0.0,0.0,1277039.0,1277039.0,0.0,0.0,0.0,0.0,1277039.0
75,2010-01-01,1.0,Malawi,Central,Lilongwe City,1.0,1.0,Lilongwe City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2010-01-01,1.0,Malawi,Southern,Machinga,1.0,1.0,Machinga,689935,680289,680289.0,0.0,0.0,0.0,0.0,680289.0,680289.0,0.0,0.0,0.0,0.0,680289.0,680289.0,0.0,0.0,0.0,0.0,680289.0
77,2010-01-01,1.0,Malawi,Southern,Mangochi,1.0,1.0,Mangochi,1172776,1156379,1156379.0,0.0,0.0,0.0,0.0,1156379.0,1156379.0,0.0,0.0,0.0,0.0,1156379.0,1156379.0,0.0,0.0,0.0,0.0,1156379.0
78,2010-01-01,1.0,Malawi,Central,Mchinji,1.0,1.0,Mchinji,678901,669409,669409.0,0.0,0.0,0.0,0.0,669409.0,669409.0,0.0,0.0,0.0,0.0,669409.0,669409.0,0.0,0.0,0.0,0.0,669409.0
79,2010-01-01,1.0,Malawi,Southern,Mulanje,1.0,1.0,Mulanje,603721,595280,595280.0,0.0,0.0,0.0,0.0,595280.0,595280.0,0.0,0.0,0.0,0.0,595280.0,595280.0,0.0,0.0,0.0,0.0,595280.0
80,2010-01-01,1.0,Malawi,Southern,Mwanza,1.0,1.0,Mwanza,110540,108994,108994.0,0.0,0.0,0.0,0.0,108994.0,108994.0,0.0,0.0,0.0,0.0,108994.0,108994.0,0.0,0.0,0.0,0.0,108994.0
81,2010-01-01,1.0,Malawi,Northern,Mzimba,1.0,1.0,Mzimba,288517,284483,284483.0,0.0,0.0,0.0,0.0,284483.0,284483.0,0.0,0.0,0.0,0.0,284483.0,284483.0,0.0,0.0,0.0,0.0,284483.0
