,date,CS,ADM0_EN,ADM1_EN,ADM2_EN,ML1,ML2,ADM2_EN32,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,pop_CS,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,pop_ML1,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_ML2
45,2009-10-01,1.0,Malawi,Southern,Mangochi,1.0,1.0,Mangochi,1172776,891875,891875.0,0.0,0.0,0.0,0.0,891875.0,891875.0,0.0,0.0,0.0,0.0,891875.0,891875.0,0.0,0.0,0.0,0.0,891875.0
46,2009-10-01,1.0,Malawi,Central,Mchinji,1.0,1.0,Mchinji,678901,516292,516292.0,0.0,0.0,0.0,0.0,516292.0,516292.0,0.0,0.0,0.0,0.0,516292.0,516292.0,0.0,0.0,0.0,0.0,516292.0
47,2009-10-01,1.0,Malawi,Southern,Mulanje,1.0,1.0,Mulanje,603721,459119,459119.0,0.0,0.0,0.0,0.0,459119.0,459119.0,0.0,0.0,0.0,0.0,459119.0,459119.0,0.0,0.0,0.0,0.0,459119.0
48,2009-10-01,1.0,Malawi,Southern,Mwanza,1.0,1.0,Mwanza,110540,84063,84063.0,0.0,0.0,0.0,0.0,84063.0,84063.0,0.0,0.0,0.0,0.0,84063.0,84063.0,0.0,0.0,0.0,0.0,84063.0
49,2009-10-01,1.0,Malawi,Northern,Mzimba,1.0,1.0,Mzimba,288517,219412,219412.0,0.0,0.0,0.0,0.0,219412.0,219412.0,0.0,0.0,0.0,0.0,219412.0,219412.0,0.0,0.0,0.0,0.0,219412.0
50,2009-10-01,1.0,Malawi,Northern,Mzuzu City,1.0,1.0,Mzuzu City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,2009-10-01,1.0,Malawi,Southern,Neno,1.0,1.0,Neno,181483,138014,138014.0,0.0,0.0,0.0,0.0,138014.0,138014.0,0.0,0.0,0.0,0.0,138014.0,138014.0,0.0,0.0,0.0,0.0,138014.0
52,2009-10-01,1.0,Malawi,Northern,Nkhata Bay,1.0,1.0,Nkhata Bay,306040,232738,232738.0,0.0,0.0,0.0,0.0,232738.0,232738.0,0.0,0.0,0.0,0.0,232738.0,232738.0,0.0,0.0,0.0,0.0,232738.0
53,2009-10-01,1.0,Malawi,Central,Nkhotakota,1.0,1.0,Nkhotakota,430507,327393,327393.0,0.0,0.0,0.0,0.0,327393.0,327393.0,0.0,0.0,0.0,0.0,327393.0,327393.0,0.0,0.0,0.0,0.0,327393.0
54,2009-10-01,2.0,Malawi,Southern,Nsanje,2.0,3.0,Nsanje,311427,236834,0.0,236834.0,0.0,0.0,0.0,236834.0,0.0,236834.0,0.0,0.0,0.0,236834.0,0.0,0.0,236834.0,0.0,0.0,236834.0
55,2009-10-01,1.0,Malawi,Central,Ntcheu,1.0,1.0,Ntcheu,636637,484151,484151.0,0.0,0.0,0.0,0.0,484151.0,484151.0,0.0,0.0,0.0,0.0,484151.0,484151.0,0.0,0.0,0.0,0.0,484151.0
56,2009-10-01,1.0,Malawi,Central,Ntchisi,1.0,1.0,Ntchisi,326512,248306,248306.0,0.0,0.0,0.0,0.0,248306.0,248306.0,0.0,0.0,0.0,0.0,248306.0,248306.0,0.0,0.0,0.0,0.0,248306.0
57,2009-10-01,1.0,Malawi,Southern,Phalombe,1.0,1.0,Phalombe,415009,315607,315607.0,0.0,0.0,0.0,0.0,315607.0,315607.0,0.0,0.0,0.0,0.0,315607.0,315607.0,0.0,0.0,0.0,0.0,315607.0
58,2009-10-01,1.0,Malawi,Northern,Rumphi,1.0,1.0,Rumphi,231876,176337,176337.0,0.0,0.0,0.0,0.0,176337.0,176337.0,0.0,0.0,0.0,0.0,176337.0,176337.0,0.0,0.0,0.0,0.0,176337.0
59,2009-10-01,1.0,Malawi,Central,Salima,1.0,1.0,Salima,472065,358997,358997.0,0.0,0.0,0.0,0.0,358997.0,358997.0,0.0,0.0,0.0,0.0,358997.0,358997.0,0.0,0.0,0.0,0.0,358997.0
60,2009-10-01,1.0,Malawi,Southern,Thyolo,1.0,1.0,Thyolo,691915,526189,526189.0,0.0,0.0,0.0,0.0,526189.0,526189.0,0.0,0.0,0.0,0.0,526189.0,526189.0,0.0,0.0,0.0,0.0,526189.0
61,2009-10-01,1.0,Malawi,Southern,Zomba,1.0,1.0,Zomba,174816,132944,132944.0,0.0,0.0,0.0,0.0,132944.0,132944.0,0.0,0.0,0.0,0.0,132944.0,132944.0,0.0,0.0,0.0,0.0,132944.0
62,2009-10-01,1.0,Malawi,Southern,Zomba City,1.0,1.0,Zomba City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,2009-10-01,,Malawi,Northern,Likoma,,,Likoma,10508,7991,,,,,,,,,,,,,,,,,,
64,2010-01-01,1.0,Malawi,Southern,Balaka,1.0,1.0,Balaka,451465,353023,353023.0,0.0,0.0,0.0,0.0,353023.0,353023.0,0.0,0.0,0.0,0.0,353023.0,353023.0,0.0,0.0,0.0,0.0,353023.0
65,2010-01-01,1.0,Malawi,Southern,Blantyre,1.0,1.0,Blantyre,1033105,807836,807836.0,0.0,0.0,0.0,0.0,807836.0,807836.0,0.0,0.0,0.0,0.0,807836.0,807836.0,0.0,0.0,0.0,0.0,807836.0
66,2010-01-01,1.0,Malawi,Southern,Blantyre City,1.0,1.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2010-01-01,2.0,Malawi,Southern,Chikwawa,2.0,1.0,Chikwawa,601250,470147,0.0,470147.0,0.0,0.0,0.0,470147.0,0.0,470147.0,0.0,0.0,0.0,470147.0,470147.0,0.0,0.0,0.0,0.0,470147.0
68,2010-01-01,1.0,Malawi,Southern,Chiradzulu,1.0,1.0,Chiradzulu,336023,262753,262753.0,0.0,0.0,0.0,0.0,262753.0,262753.0,0.0,0.0,0.0,0.0,262753.0,262753.0,0.0,0.0,0.0,0.0,262753.0
69,2010-01-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,188413,188413.0,0.0,0.0,0.0,0.0,188413.0,188413.0,0.0,0.0,0.0,0.0,188413.0,188413.0,0.0,0.0,0.0,0.0,188413.0
70,2010-01-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,630876,630876.0,0.0,0.0,0.0,0.0,630876.0,630876.0,0.0,0.0,0.0,0.0,630876.0,630876.0,0.0,0.0,0.0,0.0,630876.0
71,2010-01-01,1.0,Malawi,Central,Dowa,1.0,1.0,Dowa,901973,705297,705297.0,0.0,0.0,0.0,0.0,705297.0,705297.0,0.0,0.0,0.0,0.0,705297.0,705297.0,0.0,0.0,0.0,0.0,705297.0
72,2010-01-01,1.0,Malawi,Northern,Karonga,1.0,1.0,Karonga,381993,298699,298699.0,0.0,0.0,0.0,0.0,298699.0,298699.0,0.0,0.0,0.0,0.0,298699.0,298699.0,0.0,0.0,0.0,0.0,298699.0
73,2010-01-01,1.0,Malawi,Central,Kasungu,1.0,1.0,Kasungu,963875,753702,753702.0,0.0,0.0,0.0,0.0,753702.0,753702.0,0.0,0.0,0.0,0.0,753702.0,753702.0,0.0,0.0,0.0,0.0,753702.0
74,2010-01-01,1.0,Malawi,Central,Lilongwe,1.0,1.0,Lilongwe,1295147,1012740,1012740.0,0.0,0.0,0.0,0.0,1012740.0,1012740.0,0.0,0.0,0.0,0.0,1012740.0,1012740.0,0.0,0.0,0.0,0.0,1012740.0
75,2010-01-01,1.0,Malawi,Central,Lilongwe City,1.0,1.0,Lilongwe City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,2010-01-01,1.0,Malawi,Southern,Machinga,1.0,1.0,Machinga,689935,539494,539494.0,0.0,0.0,0.0,0.0,539494.0,539494.0,0.0,0.0,0.0,0.0,539494.0,539494.0,0.0,0.0,0.0,0.0,539494.0
77,2010-01-01,1.0,Malawi,Southern,Mangochi,1.0,1.0,Mangochi,1172776,917052,917052.0,0.0,0.0,0.0,0.0,917052.0,917052.0,0.0,0.0,0.0,0.0,917052.0,917052.0,0.0,0.0,0.0,0.0,917052.0
78,2010-01-01,1.0,Malawi,Central,Mchinji,1.0,1.0,Mchinji,678901,530866,530866.0,0.0,0.0,0.0,0.0,530866.0,530866.0,0.0,0.0,0.0,0.0,530866.0,530866.0,0.0,0.0,0.0,0.0,530866.0
79,2010-01-01,1.0,Malawi,Southern,Mulanje,1.0,1.0,Mulanje,603721,472079,472079.0,0.0,0.0,0.0,0.0,472079.0,472079.0,0.0,0.0,0.0,0.0,472079.0,472079.0,0.0,0.0,0.0,0.0,472079.0
80,2010-01-01,1.0,Malawi,Southern,Mwanza,1.0,1.0,Mwanza,110540,86436,86436.0,0.0,0.0,0.0,0.0,86436.0,86436.0,0.0,0.0,0.0,0.0,86436.0,86436.0,0.0,0.0,0.0,0.0,86436.0
81,2010-01-01,1.0,Malawi,Northern,Mzimba,1.0,1.0,Mzimba,288517,225605,225605.0,0.0,0.0,0.0,0.0,225605.0,225605.0,0.0,0.0,0.0,0.0,225605.0,225605.0,0.0,0.0,0.0,0.0,225605.0
82,2010-01-01,1.0,Malawi,Northern,Mzuzu City,1.0,1.0,Mzuzu City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,2010-01-01,1.0,Malawi,Southern,Neno,1.0,1.0,Neno,181483,141910,141910.0,0.0,0.0,0.0,0.0,141910.0,141910.0,0.0,0.0,0.0,0.0,141910.0,141910.0,0.0,0.0,0.0,0.0,141910.0
84,2010-01-01,1.0,Malawi,Northern,Nkhata Bay,1.0,1.0,Nkhata Bay,306040,239307,239307.0,0.0,0.0,0.0,0.0,239307.0,239307.0,0.0,0.0,0.0,0.0,239307.0,239307.0,0.0,0.0,0.0,0.0,239307.0
85,2010-01-01,1.0,Malawi,Central,Nkhotakota,1.0,1.0,Nkhotakota,430507,336634,336634.0,0.0,0.0,0.0,0.0,336634.0,336634.0,0.0,0.0,0.0,0.0,336634.0,336634.0,0.0,0.0,0.0,0.0,336634.0
86,2010-01-01,2.0,Malawi,Southern,Nsanje,2.0,1.0,Nsanje,311427,243520,0.0,243520.0,0.0,0.0,0.0,243520.0,0.0,243520.0,0.0,0.0,0.0,243520.0,243520.0,0.0,0.0,0.0,0.0,243520.0
87,2010-01-01,1.0,Malawi,Central,Ntcheu,1.0,1.0,Ntcheu,636637,497818,497818.0,0.0,0.0,0.0,0.0,497818.0,497818.0,0.0,0.0,0.0,0.0,497818.0,497818.0,0.0,0.0,0.0,0.0,497818.0
88,2010-01-01,1.0,Malawi,Central,Ntchisi,1.0,1.0,Ntchisi,326512,255316,255316.0,0.0,0.0,0.0,0.0,255316.0,255316.0,0.0,0.0,0.0,0.0,255316.0,255316.0,0.0,0.0,0.0,0.0,255316.0
89,2010-01-01,1.0,Malawi,Southern,Phalombe,1.0,1.0,Phalombe,415009,324516,324516.0,0.0,0.0,0.0,0.0,324516.0,324516.0,0.0,0.0,0.0,0.0,324516.0,324516.0,0.0,0.0,0.0,0.0,324516.0
90,2010-01-01,1.0,Malawi,Northern,Rumphi,1.0,1.0,Rumphi,231876,181315,181315.0,0.0,0.0,0.0,0.0,181315.0,181315.0,0.0,0.0,0.0,0.0,181315.0,181315.0,0.0,0.0,0.0,0.0,181315.0
91,2010-01-01,1.0,Malawi,Central,Salima,1.0,1.0,Salima,472065,369131,369131.0,0.0,0.0,0.0,0.0,369131.0,369131.0,0.0,0.0,0.0,0.0,369131.0,369131.0,0.0,0.0,0.0,0.0,369131.0
92,2010-01-01,1.0,Malawi,Southern,Thyolo,1.0,1.0,Thyolo,691915,541042,541042.0,0.0,0.0,0.0,0.0,541042.0,541042.0,0.0,0.0,0.0,0.0,541042.0,541042.0,0.0,0.0,0.0,0.0,541042.0
93,2010-01-01,1.0,Malawi,Southern,Zomba,1.0,1.0,Zomba,174816,136697,136697.0,0.0,0.0,0.0,0.0,136697.0,136697.0,0.0,0.0,0.0,0.0,136697.0,136697.0,0.0,0.0,0.0,0.0,136697.0
94,2010-01-01,1.0,Malawi,Southern,Zomba City,1.0,1.0,Zomba City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,2010-01-01,,Malawi,Northern,Likoma,,,Likoma,10508,8216,,,,,,,,,,,,,,,,,,
96,2010-04-01,1.0,Malawi,Southern,Balaka,2.0,3.0,Balaka,451465,353023,353023.0,0.0,0.0,0.0,0.0,353023.0,0.0,353023.0,0.0,0.0,0.0,353023.0,0.0,0.0,353023.0,0.0,0.0,353023.0
97,2010-04-01,1.0,Malawi,Southern,Blantyre,2.0,2.0,Blantyre,1033105,807836,807836.0,0.0,0.0,0.0,0.0,807836.0,0.0,807836.0,0.0,0.0,0.0,807836.0,0.0,807836.0,0.0,0.0,0.0,807836.0
98,2010-04-01,1.0,Malawi,Southern,Blantyre City,2.0,2.0,Blantyre City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2010-04-01,2.0,Malawi,Southern,Chikwawa,3.0,3.0,Chikwawa,601250,470147,0.0,470147.0,0.0,0.0,0.0,470147.0,0.0,0.0,470147.0,0.0,0.0,470147.0,0.0,0.0,470147.0,0.0,0.0,470147.0
100,2010-04-01,1.0,Malawi,Southern,Chiradzulu,1.0,2.0,Chiradzulu,336023,262753,262753.0,0.0,0.0,0.0,0.0,262753.0,262753.0,0.0,0.0,0.0,0.0,262753.0,0.0,262753.0,0.0,0.0,0.0,262753.0
101,2010-04-01,1.0,Malawi,Northern,Chitipa,1.0,1.0,Chitipa,240954,188413,188413.0,0.0,0.0,0.0,0.0,188413.0,188413.0,0.0,0.0,0.0,0.0,188413.0,188413.0,0.0,0.0,0.0,0.0,188413.0
102,2010-04-01,1.0,Malawi,Central,Dedza,1.0,1.0,Dedza,806799,630876,630876.0,0.0,0.0,0.0,0.0,630876.0,630876.0,0.0,0.0,0.0,0.0,630876.0,630876.0,0.0,0.0,0.0,0.0,630876.0
103,2010-04-01,1.0,Malawi,Central,Dowa,1.0,1.0,Dowa,901973,705297,705297.0,0.0,0.0,0.0,0.0,705297.0,705297.0,0.0,0.0,0.0,0.0,705297.0,705297.0,0.0,0.0,0.0,0.0,705297.0
104,2010-04-01,1.0,Malawi,Northern,Karonga,1.0,1.0,Karonga,381993,298699,298699.0,0.0,0.0,0.0,0.0,298699.0,298699.0,0.0,0.0,0.0,0.0,298699.0,298699.0,0.0,0.0,0.0,0.0,298699.0
105,2010-04-01,1.0,Malawi,Central,Kasungu,1.0,1.0,Kasungu,963875,753702,753702.0,0.0,0.0,0.0,0.0,753702.0,753702.0,0.0,0.0,0.0,0.0,753702.0,753702.0,0.0,0.0,0.0,0.0,753702.0
106,2010-04-01,1.0,Malawi,Central,Lilongwe,1.0,1.0,Lilongwe,1295147,1012740,1012740.0,0.0,0.0,0.0,0.0,1012740.0,1012740.0,0.0,0.0,0.0,0.0,1012740.0,1012740.0,0.0,0.0,0.0,0.0,1012740.0
107,2010-04-01,1.0,Malawi,Central,Lilongwe City,1.0,1.0,Lilongwe City,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,2010-04-01,1.0,Malawi,Southern,Machinga,1.0,2.0,Machinga,689935,539494,539494.0,0.0,0.0,0.0,0.0,539494.0,539494.0,0.0,0.0,0.0,0.0,539494.0,0.0,539494.0,0.0,0.0,0.0,539494.0
