,date,ADMIN0,ADMIN1,ADMIN2,CS
4097,2010-10-01,Ethiopia,Oromia,Gujii,1.0
4101,2010-10-01,Ethiopia,Oromia,Ilubabor,1.0
54,2010-10-01,Ethiopia,Somali,Fafan,2.0
4104,2010-10-01,Ethiopia,Oromia,Kelem,1.0
59,2010-10-01,Ethiopia,Somali,Korahe,2.0
60,2010-10-01,Ethiopia,Somali,Liben,2.0
63,2010-10-01,Ethiopia,Amhara,North Wollo,2.0
436,2010-10-01,Ethiopia,Gambela,Nuer,3.0
65,2010-10-01,Ethiopia,Somali,Sitti,2.0
442,2010-10-01,Ethiopia,Tigray,South Tigray,3.0
445,2010-10-01,Ethiopia,Oromia,West Hararge,3.0
4114,2010-10-01,Ethiopia,Oromia,West Wellega,1.0
79,2010-10-01,Ethiopia,Afar,Awusi,2.0
450,2010-10-01,Ethiopia,Afar,Fanti,3.0
83,2010-10-01,Ethiopia,Somali,Shebelle,2.0
453,2010-10-01,Ethiopia,Gambela,Itang,3.0
4118,2010-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
454,2010-10-01,Ethiopia,Gambela,Agniwak,3.0
455,2010-10-01,Ethiopia,Oromia,East Hararge,3.0
456,2010-10-01,Ethiopia,Tigray,East Tigray,3.0
4123,2010-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
4124,2010-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
459,2010-10-01,Ethiopia,Afar,Kilbati,3.0
93,2010-10-01,Ethiopia,Somali,Nogob,2.0
95,2010-10-01,Ethiopia,Somali,Dollo,2.0
4084,2010-10-01,Ethiopia,SNNPR,Sheka,1.0
35,2010-10-01,Ethiopia,SNNPR,Sidama,2.0
36,2010-10-01,Ethiopia,Somali,Afder,2.0
416,2010-10-01,Ethiopia,SNNPR,Alaba,3.0
38,2010-10-01,Ethiopia,Oromia,Arsi,2.0
39,2010-10-01,Ethiopia,SNNPR,Basketo,2.0
4090,2010-10-01,Ethiopia,SNNPR,Bench Maji,1.0
419,2010-10-01,Ethiopia,Tigray,Central Tigray,3.0
42,2010-10-01,Ethiopia,SNNPR,Dawro,2.0
6765,2010-10-01,Ethiopia,Dire Dawa,Dire Dawa,99.0
4092,2010-10-01,Ethiopia,Amhara,East Gojam,1.0
423,2010-10-01,Ethiopia,Oromia,East Shewa,3.0
424,2010-10-01,Ethiopia,SNNPR,Gamo Gofa,3.0
51,2010-10-01,Ethiopia,SNNPR,Gurage,2.0
4100,2010-10-01,Ethiopia,Oromia,Horo Guduru,1.0
4102,2010-10-01,Ethiopia,Oromia,Jimma,1.0
56,2010-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
4103,2010-10-01,Ethiopia,SNNPR,Keffa,1.0
58,2010-10-01,Ethiopia,SNNPR,Konta,2.0
4106,2010-10-01,Ethiopia,Gambela,Mezhenger,1.0
434,2010-10-01,Ethiopia,Amhara,North Shewa,3.0
64,2010-10-01,Ethiopia,Amhara,Oromia,2.0
4108,2010-10-01,Ethiopia,Amhara,South Gondar,1.0
67,2010-10-01,Ethiopia,SNNPR,South Omo,2.0
68,2010-10-01,Ethiopia,Amhara,South Wollo,2.0
70,2010-10-01,Ethiopia,Amhara,Argoba,2.0
443,2010-10-01,Ethiopia,Amhara,Wag Himra,3.0
4111,2010-10-01,Ethiopia,Oromia,West Arsi,1.0
74,2010-10-01,Ethiopia,Oromia,West Shewa,2.0
4115,2010-10-01,Ethiopia,Tigray,West Tigray,1.0
77,2010-10-01,Ethiopia,SNNPR,Wolayita,2.0
4116,2010-10-01,Ethiopia,SNNPR,Yem,1.0
80,2010-10-01,Ethiopia,Afar,Gabi,2.0
82,2010-10-01,Ethiopia,Afar,Khari,2.0
84,2010-10-01,Ethiopia,Tigray,Northwest Tigray,2.0
87,2010-10-01,Ethiopia,Benshangul Gumuz,Asosa,2.0
4126,2010-10-01,Ethiopia,Oromia,South West Shewa,1.0
92,2010-10-01,Ethiopia,SNNPR,Hadiya,2.0
463,2010-10-01,Ethiopia,SNNPR,Silltie,3.0
4099,2010-10-01,Ethiopia,Harari,Harari,1.0
4127,2010-10-01,Ethiopia,Amhara,North Gondar,1.0
4112,2010-10-01,Ethiopia,Amhara,West Gojam,1.0
4088,2010-10-01,Ethiopia,Amhara,Awi,1.0
4119,2010-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6782,2010-10-01,Ethiopia,Addis Ababa,Region 14,99.0
97,2014-07-01,Ethiopia,SNNPR,Segen,1.0
3039,2014-07-01,Ethiopia,Oromia,Bale,2.0
3998,2014-07-01,Ethiopia,Oromia,Borena,2.0
3045,2014-07-01,Ethiopia,Somali,Jarar,2.0
2378,2014-07-01,Ethiopia,Oromia,East Wellega,1.0
2380,2014-07-01,Ethiopia,SNNPR,Gedeo,1.0
4008,2014-07-01,Ethiopia,Oromia,Gujii,2.0
2384,2014-07-01,Ethiopia,Oromia,Ilubabor,1.0
4010,2014-07-01,Ethiopia,Somali,Fafan,2.0
2388,2014-07-01,Ethiopia,Oromia,Kelem,1.0
3050,2014-07-01,Ethiopia,Somali,Korahe,2.0
4012,2014-07-01,Ethiopia,Somali,Liben,2.0
3053,2014-07-01,Ethiopia,Amhara,North Wollo,2.0
2392,2014-07-01,Ethiopia,Gambela,Nuer,1.0
4016,2014-07-01,Ethiopia,Somali,Sitti,2.0
4020,2014-07-01,Ethiopia,Tigray,South Tigray,2.0
4023,2014-07-01,Ethiopia,Oromia,West Hararge,2.0
2400,2014-07-01,Ethiopia,Oromia,West Wellega,1.0
4025,2014-07-01,Ethiopia,Afar,Awusi,2.0
4027,2014-07-01,Ethiopia,Afar,Fanti,2.0
4029,2014-07-01,Ethiopia,Somali,Shebelle,2.0
2406,2014-07-01,Ethiopia,Gambela,Itang,1.0
2407,2014-07-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2409,2014-07-01,Ethiopia,Gambela,Agniwak,1.0
4032,2014-07-01,Ethiopia,Oromia,East Hararge,2.0
4977,2014-07-01,Ethiopia,Tigray,East Tigray,3.0
2411,2014-07-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2412,2014-07-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
4978,2014-07-01,Ethiopia,Afar,Kilbati,3.0
