,date,ADMIN0,ADMIN1,ADMIN2,CS
2228,2015-10-01,Ethiopia,SNNPR,Dawro,1.0
2280,2015-10-01,Ethiopia,Dire Dawa,Dire Dawa,3.0
2229,2015-10-01,Ethiopia,Amhara,East Gojam,1.0
2282,2015-10-01,Ethiopia,Oromia,East Shewa,3.0
2232,2015-10-01,Ethiopia,SNNPR,Gamo Gofa,1.0
2235,2015-10-01,Ethiopia,SNNPR,Gurage,1.0
2236,2015-10-01,Ethiopia,Oromia,Horo Guduru,1.0
2238,2015-10-01,Ethiopia,Oromia,Jimma,1.0
686,2015-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
2240,2015-10-01,Ethiopia,SNNPR,Keffa,1.0
2242,2015-10-01,Ethiopia,SNNPR,Konta,1.0
2243,2015-10-01,Ethiopia,Gambela,Mezhenger,1.0
690,2015-10-01,Ethiopia,Amhara,North Shewa,2.0
2292,2015-10-01,Ethiopia,Amhara,Oromia,3.0
695,2015-10-01,Ethiopia,Amhara,South Gondar,2.0
2247,2015-10-01,Ethiopia,SNNPR,South Omo,1.0
2296,2015-10-01,Ethiopia,Amhara,South Wollo,3.0
2298,2015-10-01,Ethiopia,Amhara,Argoba,3.0
2299,2015-10-01,Ethiopia,Amhara,Wag Himra,3.0
2300,2015-10-01,Ethiopia,Oromia,West Arsi,3.0
2251,2015-10-01,Ethiopia,Oromia,West Shewa,1.0
2253,2015-10-01,Ethiopia,Tigray,West Tigray,1.0
704,2015-10-01,Ethiopia,SNNPR,Wolayita,2.0
2255,2015-10-01,Ethiopia,SNNPR,Yem,1.0
6809,2015-10-01,Ethiopia,Afar,Gabi,4.0
2307,2015-10-01,Ethiopia,Afar,Khari,3.0
2256,2015-10-01,Ethiopia,Tigray,Northwest Tigray,1.0
2261,2015-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
2265,2015-10-01,Ethiopia,Oromia,South West Shewa,1.0
2315,2015-10-01,Ethiopia,SNNPR,Hadiya,3.0
2317,2015-10-01,Ethiopia,SNNPR,Silltie,3.0
2285,2015-10-01,Ethiopia,Harari,Harari,3.0
2266,2015-10-01,Ethiopia,Amhara,North Gondar,1.0
2250,2015-10-01,Ethiopia,Amhara,West Gojam,1.0
2224,2015-10-01,Ethiopia,Amhara,Awi,1.0
2259,2015-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
2264,2015-10-01,Ethiopia,Addis Ababa,Region 14,1.0
2108,2016-02-01,Ethiopia,SNNPR,Segen,1.0
3862,2016-02-01,Ethiopia,Oromia,Bale,2.0
3863,2016-02-01,Ethiopia,Oromia,Borena,2.0
4987,2016-02-01,Ethiopia,Somali,Jarar,1.0
2121,2016-02-01,Ethiopia,Oromia,East Wellega,1.0
2123,2016-02-01,Ethiopia,SNNPR,Gedeo,1.0
2124,2016-02-01,Ethiopia,Oromia,Gujii,1.0
2127,2016-02-01,Ethiopia,Oromia,Ilubabor,1.0
6066,2016-02-01,Ethiopia,Somali,Fafan,2.0
2131,2016-02-01,Ethiopia,Oromia,Kelem,1.0
2133,2016-02-01,Ethiopia,Somali,Korahe,1.0
2134,2016-02-01,Ethiopia,Somali,Liben,1.0
741,2016-02-01,Ethiopia,Amhara,North Wollo,3.0
2137,2016-02-01,Ethiopia,Gambela,Nuer,1.0
4688,2016-02-01,Ethiopia,Somali,Sitti,4.0
6072,2016-02-01,Ethiopia,Tigray,South Tigray,2.0
4691,2016-02-01,Ethiopia,Oromia,West Hararge,4.0
2144,2016-02-01,Ethiopia,Oromia,West Wellega,1.0
6609,2016-02-01,Ethiopia,Afar,Awusi,3.0
6611,2016-02-01,Ethiopia,Afar,Fanti,3.0
2148,2016-02-01,Ethiopia,Somali,Shebelle,1.0
2150,2016-02-01,Ethiopia,Gambela,Itang,1.0
2151,2016-02-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2153,2016-02-01,Ethiopia,Gambela,Agniwak,1.0
4696,2016-02-01,Ethiopia,Oromia,East Hararge,4.0
6079,2016-02-01,Ethiopia,Tigray,East Tigray,2.0
2155,2016-02-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2156,2016-02-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
6615,2016-02-01,Ethiopia,Afar,Kilbati,3.0
4995,2016-02-01,Ethiopia,Somali,Nogob,1.0
2162,2016-02-01,Ethiopia,Somali,Dollo,1.0
2110,2016-02-01,Ethiopia,SNNPR,Sheka,1.0
2112,2016-02-01,Ethiopia,SNNPR,Sidama,1.0
4984,2016-02-01,Ethiopia,Somali,Afder,1.0
728,2016-02-01,Ethiopia,SNNPR,Alaba,3.0
3866,2016-02-01,Ethiopia,Oromia,Arsi,2.0
2115,2016-02-01,Ethiopia,SNNPR,Basketo,1.0
2116,2016-02-01,Ethiopia,SNNPR,Bench Maji,1.0
6060,2016-02-01,Ethiopia,Tigray,Central Tigray,2.0
2117,2016-02-01,Ethiopia,SNNPR,Dawro,1.0
6590,2016-02-01,Ethiopia,Dire Dawa,Dire Dawa,3.0
2119,2016-02-01,Ethiopia,Amhara,East Gojam,1.0
734,2016-02-01,Ethiopia,Oromia,East Shewa,3.0
2122,2016-02-01,Ethiopia,SNNPR,Gamo Gofa,1.0
2125,2016-02-01,Ethiopia,SNNPR,Gurage,1.0
2126,2016-02-01,Ethiopia,Oromia,Horo Guduru,1.0
2128,2016-02-01,Ethiopia,Oromia,Jimma,1.0
4990,2016-02-01,Ethiopia,SNNPR,Kembata Tembaro,1.0
2130,2016-02-01,Ethiopia,SNNPR,Keffa,1.0
2132,2016-02-01,Ethiopia,SNNPR,Konta,1.0
2135,2016-02-01,Ethiopia,Gambela,Mezhenger,1.0
3882,2016-02-01,Ethiopia,Amhara,North Shewa,2.0
743,2016-02-01,Ethiopia,Amhara,Oromia,3.0
2138,2016-02-01,Ethiopia,Amhara,South Gondar,1.0
2139,2016-02-01,Ethiopia,SNNPR,South Omo,1.0
747,2016-02-01,Ethiopia,Amhara,South Wollo,3.0
749,2016-02-01,Ethiopia,Amhara,Argoba,3.0
6604,2016-02-01,Ethiopia,Amhara,Wag Himra,3.0
751,2016-02-01,Ethiopia,Oromia,West Arsi,3.0
2143,2016-02-01,Ethiopia,Oromia,West Shewa,1.0
2145,2016-02-01,Ethiopia,Tigray,West Tigray,1.0
3896,2016-02-01,Ethiopia,SNNPR,Wolayita,2.0
2147,2016-02-01,Ethiopia,SNNPR,Yem,1.0
4693,2016-02-01,Ethiopia,Afar,Gabi,4.0
6612,2016-02-01,Ethiopia,Afar,Khari,3.0
3901,2016-02-01,Ethiopia,Tigray,Northwest Tigray,2.0
2154,2016-02-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
2158,2016-02-01,Ethiopia,Oromia,South West Shewa,1.0
3908,2016-02-01,Ethiopia,SNNPR,Hadiya,2.0
768,2016-02-01,Ethiopia,SNNPR,Silltie,3.0
737,2016-02-01,Ethiopia,Harari,Harari,3.0
2159,2016-02-01,Ethiopia,Amhara,North Gondar,1.0
2142,2016-02-01,Ethiopia,Amhara,West Gojam,1.0
2114,2016-02-01,Ethiopia,Amhara,Awi,1.0
2152,2016-02-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
2157,2016-02-01,Ethiopia,Addis Ababa,Region 14,1.0
1728,2019-10-01,Ethiopia,SNNPR,Segen,2.0
805,2019-10-01,Ethiopia,Oromia,Bale,3.0
1730,2019-10-01,Ethiopia,Oromia,Borena,2.0
813,2019-10-01,Ethiopia,Somali,Jarar,3.0
2612,2019-10-01,Ethiopia,Oromia,East Wellega,1.0
818,2019-10-01,Ethiopia,SNNPR,Gedeo,3.0
1745,2019-10-01,Ethiopia,Oromia,Gujii,2.0
2618,2019-10-01,Ethiopia,Oromia,Ilubabor,1.0
1748,2019-10-01,Ethiopia,Somali,Fafan,2.0
2623,2019-10-01,Ethiopia,Oromia,Kelem,1.0
824,2019-10-01,Ethiopia,Somali,Korahe,3.0
825,2019-10-01,Ethiopia,Somali,Liben,3.0
1755,2019-10-01,Ethiopia,Amhara,North Wollo,2.0
2629,2019-10-01,Ethiopia,Gambela,Nuer,1.0
1757,2019-10-01,Ethiopia,Somali,Sitti,2.0
1761,2019-10-01,Ethiopia,Tigray,South Tigray,2.0
835,2019-10-01,Ethiopia,Oromia,West Hararge,3.0
2641,2019-10-01,Ethiopia,Oromia,West Wellega,1.0
1770,2019-10-01,Ethiopia,Afar,Awusi,2.0
841,2019-10-01,Ethiopia,Afar,Fanti,3.0
842,2019-10-01,Ethiopia,Somali,Shebelle,3.0
2650,2019-10-01,Ethiopia,Gambela,Itang,1.0
2651,2019-10-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2653,2019-10-01,Ethiopia,Gambela,Agniwak,1.0
847,2019-10-01,Ethiopia,Oromia,East Hararge,3.0
848,2019-10-01,Ethiopia,Tigray,East Tigray,3.0
2657,2019-10-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2658,2019-10-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
851,2019-10-01,Ethiopia,Afar,Kilbati,3.0
854,2019-10-01,Ethiopia,Somali,Nogob,3.0
856,2019-10-01,Ethiopia,Somali,Dollo,3.0
2597,2019-10-01,Ethiopia,SNNPR,Sheka,1.0
2599,2019-10-01,Ethiopia,SNNPR,Sidama,1.0
808,2019-10-01,Ethiopia,Somali,Afder,3.0
1733,2019-10-01,Ethiopia,SNNPR,Alaba,2.0
2602,2019-10-01,Ethiopia,Oromia,Arsi,1.0
2604,2019-10-01,Ethiopia,SNNPR,Basketo,1.0
2605,2019-10-01,Ethiopia,SNNPR,Bench Maji,1.0
2606,2019-10-01,Ethiopia,Tigray,Central Tigray,1.0
2607,2019-10-01,Ethiopia,SNNPR,Dawro,1.0
1740,2019-10-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
2610,2019-10-01,Ethiopia,Amhara,East Gojam,1.0
2611,2019-10-01,Ethiopia,Oromia,East Shewa,1.0
1743,2019-10-01,Ethiopia,SNNPR,Gamo Gofa,2.0
2616,2019-10-01,Ethiopia,SNNPR,Gurage,1.0
2617,2019-10-01,Ethiopia,Oromia,Horo Guduru,1.0
2620,2019-10-01,Ethiopia,Oromia,Jimma,1.0
1750,2019-10-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
2622,2019-10-01,Ethiopia,SNNPR,Keffa,1.0
2624,2019-10-01,Ethiopia,SNNPR,Konta,1.0
2626,2019-10-01,Ethiopia,Gambela,Mezhenger,1.0
2627,2019-10-01,Ethiopia,Amhara,North Shewa,1.0
2630,2019-10-01,Ethiopia,Amhara,Oromia,1.0
1758,2019-10-01,Ethiopia,Amhara,South Gondar,2.0
1759,2019-10-01,Ethiopia,SNNPR,South Omo,2.0
1760,2019-10-01,Ethiopia,Amhara,South Wollo,2.0
1762,2019-10-01,Ethiopia,Amhara,Argoba,2.0
833,2019-10-01,Ethiopia,Amhara,Wag Himra,3.0
2637,2019-10-01,Ethiopia,Oromia,West Arsi,1.0
2640,2019-10-01,Ethiopia,Oromia,West Shewa,1.0
2642,2019-10-01,Ethiopia,Tigray,West Tigray,1.0
1769,2019-10-01,Ethiopia,SNNPR,Wolayita,2.0
2644,2019-10-01,Ethiopia,SNNPR,Yem,1.0
1771,2019-10-01,Ethiopia,Afar,Gabi,2.0
1773,2019-10-01,Ethiopia,Afar,Khari,2.0
2649,2019-10-01,Ethiopia,Tigray,Northwest Tigray,1.0
2654,2019-10-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
2660,2019-10-01,Ethiopia,Oromia,South West Shewa,1.0
2662,2019-10-01,Ethiopia,SNNPR,Hadiya,1.0
1784,2019-10-01,Ethiopia,SNNPR,Silltie,2.0
1747,2019-10-01,Ethiopia,Harari,Harari,2.0
2661,2019-10-01,Ethiopia,Amhara,North Gondar,1.0
2638,2019-10-01,Ethiopia,Amhara,West Gojam,1.0
2603,2019-10-01,Ethiopia,Amhara,Awi,1.0
2652,2019-10-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
2659,2019-10-01,Ethiopia,Addis Ababa,Region 14,1.0
2717,2019-06-01,Ethiopia,SNNPR,Segen,2.0
858,2019-06-01,Ethiopia,Oromia,Bale,3.0
859,2019-06-01,Ethiopia,Oromia,Borena,3.0
866,2019-06-01,Ethiopia,Somali,Jarar,3.0
2546,2019-06-01,Ethiopia,Oromia,East Wellega,1.0
871,2019-06-01,Ethiopia,SNNPR,Gedeo,3.0
872,2019-06-01,Ethiopia,Oromia,Gujii,3.0
2552,2019-06-01,Ethiopia,Oromia,Ilubabor,1.0
2738,2019-06-01,Ethiopia,Somali,Fafan,2.0
2556,2019-06-01,Ethiopia,Oromia,Kelem,1.0
879,2019-06-01,Ethiopia,Somali,Korahe,3.0
880,2019-06-01,Ethiopia,Somali,Liben,3.0
2746,2019-06-01,Ethiopia,Amhara,North Wollo,2.0
2561,2019-06-01,Ethiopia,Gambela,Nuer,1.0
884,2019-06-01,Ethiopia,Somali,Sitti,3.0
2752,2019-06-01,Ethiopia,Tigray,South Tigray,2.0
890,2019-06-01,Ethiopia,Oromia,West Hararge,3.0
2572,2019-06-01,Ethiopia,Oromia,West Wellega,1.0
2761,2019-06-01,Ethiopia,Afar,Awusi,2.0
2763,2019-06-01,Ethiopia,Afar,Fanti,2.0
896,2019-06-01,Ethiopia,Somali,Shebelle,3.0
2580,2019-06-01,Ethiopia,Gambela,Itang,1.0
2581,2019-06-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
2583,2019-06-01,Ethiopia,Gambela,Agniwak,1.0
901,2019-06-01,Ethiopia,Oromia,East Hararge,3.0
2768,2019-06-01,Ethiopia,Tigray,East Tigray,2.0
2586,2019-06-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
2587,2019-06-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
906,2019-06-01,Ethiopia,Afar,Kilbati,3.0
909,2019-06-01,Ethiopia,Somali,Nogob,3.0
911,2019-06-01,Ethiopia,Somali,Dollo,3.0
2535,2019-06-01,Ethiopia,SNNPR,Sheka,1.0
2720,2019-06-01,Ethiopia,SNNPR,Sidama,2.0
861,2019-06-01,Ethiopia,Somali,Afder,3.0
862,2019-06-01,Ethiopia,SNNPR,Alaba,3.0
2538,2019-06-01,Ethiopia,Oromia,Arsi,1.0
2540,2019-06-01,Ethiopia,SNNPR,Basketo,1.0
2541,2019-06-01,Ethiopia,SNNPR,Bench Maji,1.0
2542,2019-06-01,Ethiopia,Tigray,Central Tigray,1.0
2543,2019-06-01,Ethiopia,SNNPR,Dawro,1.0
2729,2019-06-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
2544,2019-06-01,Ethiopia,Amhara,East Gojam,1.0
2731,2019-06-01,Ethiopia,Oromia,East Shewa,2.0
2732,2019-06-01,Ethiopia,SNNPR,Gamo Gofa,2.0
2550,2019-06-01,Ethiopia,SNNPR,Gurage,1.0
2551,2019-06-01,Ethiopia,Oromia,Horo Guduru,1.0
2553,2019-06-01,Ethiopia,Oromia,Jimma,1.0
2740,2019-06-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
2555,2019-06-01,Ethiopia,SNNPR,Keffa,1.0
2557,2019-06-01,Ethiopia,SNNPR,Konta,1.0
2558,2019-06-01,Ethiopia,Gambela,Mezhenger,1.0
2559,2019-06-01,Ethiopia,Amhara,North Shewa,1.0
2562,2019-06-01,Ethiopia,Amhara,Oromia,1.0
2563,2019-06-01,Ethiopia,Amhara,South Gondar,1.0
886,2019-06-01,Ethiopia,SNNPR,South Omo,3.0
2751,2019-06-01,Ethiopia,Amhara,South Wollo,2.0
2567,2019-06-01,Ethiopia,Amhara,Argoba,1.0
888,2019-06-01,Ethiopia,Amhara,Wag Himra,3.0
2569,2019-06-01,Ethiopia,Oromia,West Arsi,1.0
2571,2019-06-01,Ethiopia,Oromia,West Shewa,1.0
2573,2019-06-01,Ethiopia,Tigray,West Tigray,1.0
2759,2019-06-01,Ethiopia,SNNPR,Wolayita,2.0
2575,2019-06-01,Ethiopia,SNNPR,Yem,1.0
2762,2019-06-01,Ethiopia,Afar,Gabi,2.0
2764,2019-06-01,Ethiopia,Afar,Khari,2.0
2579,2019-06-01,Ethiopia,Tigray,Northwest Tigray,1.0
2584,2019-06-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
2589,2019-06-01,Ethiopia,Oromia,South West Shewa,1.0
2773,2019-06-01,Ethiopia,SNNPR,Hadiya,2.0
2593,2019-06-01,Ethiopia,SNNPR,Silltie,1.0
2736,2019-06-01,Ethiopia,Harari,Harari,2.0
2591,2019-06-01,Ethiopia,Amhara,North Gondar,1.0
2570,2019-06-01,Ethiopia,Amhara,West Gojam,1.0
2539,2019-06-01,Ethiopia,Amhara,Awi,1.0
2582,2019-06-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
2588,2019-06-01,Ethiopia,Addis Ababa,Region 14,1.0
4536,2011-01-01,Ethiopia,SNNPR,Segen,2.0
913,2011-01-01,Ethiopia,Oromia,Bale,3.0
914,2011-01-01,Ethiopia,Oromia,Borena,3.0
917,2011-01-01,Ethiopia,Somali,Jarar,3.0
6385,2011-01-01,Ethiopia,Oromia,East Wellega,1.0
4552,2011-01-01,Ethiopia,SNNPR,Gedeo,2.0
919,2011-01-01,Ethiopia,Oromia,Gujii,3.0
6391,2011-01-01,Ethiopia,Oromia,Ilubabor,1.0
4558,2011-01-01,Ethiopia,Somali,Fafan,2.0
6394,2011-01-01,Ethiopia,Oromia,Kelem,1.0
922,2011-01-01,Ethiopia,Somali,Korahe,3.0
923,2011-01-01,Ethiopia,Somali,Liben,3.0
4567,2011-01-01,Ethiopia,Amhara,North Wollo,2.0
926,2011-01-01,Ethiopia,Gambela,Nuer,3.0
4570,2011-01-01,Ethiopia,Somali,Sitti,2.0
4574,2011-01-01,Ethiopia,Tigray,South Tigray,2.0
935,2011-01-01,Ethiopia,Oromia,West Hararge,3.0
6406,2011-01-01,Ethiopia,Oromia,West Wellega,1.0
936,2011-01-01,Ethiopia,Afar,Awusi,3.0
4586,2011-01-01,Ethiopia,Afar,Fanti,2.0
939,2011-01-01,Ethiopia,Somali,Shebelle,3.0
4589,2011-01-01,Ethiopia,Gambela,Itang,2.0
4590,2011-01-01,Ethiopia,Benshangul Gumuz,Mao-Komo,2.0
4591,2011-01-01,Ethiopia,Gambela,Agniwak,2.0
942,2011-01-01,Ethiopia,Oromia,East Hararge,3.0
4594,2011-01-01,Ethiopia,Tigray,East Tigray,2.0
6415,2011-01-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
6416,2011-01-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
943,2011-01-01,Ethiopia,Afar,Kilbati,3.0
944,2011-01-01,Ethiopia,Somali,Nogob,3.0
945,2011-01-01,Ethiopia,Somali,Dollo,3.0
6377,2011-01-01,Ethiopia,SNNPR,Sheka,1.0
4540,2011-01-01,Ethiopia,SNNPR,Sidama,2.0
915,2011-01-01,Ethiopia,Somali,Afder,3.0
4541,2011-01-01,Ethiopia,SNNPR,Alaba,2.0
4542,2011-01-01,Ethiopia,Oromia,Arsi,2.0
4543,2011-01-01,Ethiopia,SNNPR,Basketo,2.0
6381,2011-01-01,Ethiopia,SNNPR,Bench Maji,1.0
4545,2011-01-01,Ethiopia,Tigray,Central Tigray,2.0
4546,2011-01-01,Ethiopia,SNNPR,Dawro,2.0
4548,2011-01-01,Ethiopia,Dire Dawa,Dire Dawa,2.0
6383,2011-01-01,Ethiopia,Amhara,East Gojam,1.0
6384,2011-01-01,Ethiopia,Oromia,East Shewa,1.0
4551,2011-01-01,Ethiopia,SNNPR,Gamo Gofa,2.0
4554,2011-01-01,Ethiopia,SNNPR,Gurage,2.0
6390,2011-01-01,Ethiopia,Oromia,Horo Guduru,1.0
6392,2011-01-01,Ethiopia,Oromia,Jimma,1.0
4560,2011-01-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
6393,2011-01-01,Ethiopia,SNNPR,Keffa,1.0
6395,2011-01-01,Ethiopia,SNNPR,Konta,1.0
4565,2011-01-01,Ethiopia,Gambela,Mezhenger,2.0
4566,2011-01-01,Ethiopia,Amhara,North Shewa,2.0
4569,2011-01-01,Ethiopia,Amhara,Oromia,2.0
6399,2011-01-01,Ethiopia,Amhara,South Gondar,1.0
930,2011-01-01,Ethiopia,SNNPR,South Omo,3.0
4573,2011-01-01,Ethiopia,Amhara,South Wollo,2.0
4575,2011-01-01,Ethiopia,Amhara,Argoba,2.0
4576,2011-01-01,Ethiopia,Amhara,Wag Himra,2.0
4577,2011-01-01,Ethiopia,Oromia,West Arsi,2.0
6405,2011-01-01,Ethiopia,Oromia,West Shewa,1.0
6407,2011-01-01,Ethiopia,Tigray,West Tigray,1.0
4582,2011-01-01,Ethiopia,SNNPR,Wolayita,2.0
6408,2011-01-01,Ethiopia,SNNPR,Yem,1.0
4585,2011-01-01,Ethiopia,Afar,Gabi,2.0
4587,2011-01-01,Ethiopia,Afar,Khari,2.0
4588,2011-01-01,Ethiopia,Tigray,Northwest Tigray,2.0
6414,2011-01-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
6418,2011-01-01,Ethiopia,Oromia,South West Shewa,1.0
4598,2011-01-01,Ethiopia,SNNPR,Hadiya,2.0
4599,2011-01-01,Ethiopia,SNNPR,Silltie,2.0
4555,2011-01-01,Ethiopia,Harari,Harari,2.0
6419,2011-01-01,Ethiopia,Amhara,North Gondar,1.0
6403,2011-01-01,Ethiopia,Amhara,West Gojam,1.0
6380,2011-01-01,Ethiopia,Amhara,Awi,1.0
6412,2011-01-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6924,2011-01-01,Ethiopia,Addis Ababa,Region 14,99.0
3777,2017-06-01,Ethiopia,SNNPR,Segen,3.0
947,2017-06-01,Ethiopia,Oromia,Bale,2.0
3779,2017-06-01,Ethiopia,Oromia,Borena,3.0
956,2017-06-01,Ethiopia,Somali,Jarar,2.0
5361,2017-06-01,Ethiopia,Oromia,East Wellega,1.0
3790,2017-06-01,Ethiopia,SNNPR,Gedeo,3.0
5364,2017-06-01,Ethiopia,Oromia,Gujii,1.0
5367,2017-06-01,Ethiopia,Oromia,Ilubabor,1.0
965,2017-06-01,Ethiopia,Somali,Fafan,2.0
5371,2017-06-01,Ethiopia,Oromia,Kelem,1.0
6709,2017-06-01,Ethiopia,Somali,Korahe,4.0
3797,2017-06-01,Ethiopia,Somali,Liben,3.0
6466,2017-06-01,Ethiopia,Amhara,North Wollo,2.0
5375,2017-06-01,Ethiopia,Gambela,Nuer,1.0
977,2017-06-01,Ethiopia,Somali,Sitti,2.0
6471,2017-06-01,Ethiopia,Tigray,South Tigray,2.0
985,2017-06-01,Ethiopia,Oromia,West Hararge,2.0
5385,2017-06-01,Ethiopia,Oromia,West Wellega,1.0
989,2017-06-01,Ethiopia,Afar,Awusi,2.0
991,2017-06-01,Ethiopia,Afar,Fanti,2.0
3808,2017-06-01,Ethiopia,Somali,Shebelle,3.0
5392,2017-06-01,Ethiopia,Gambela,Itang,1.0
5393,2017-06-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5395,2017-06-01,Ethiopia,Gambela,Agniwak,1.0
6481,2017-06-01,Ethiopia,Oromia,East Hararge,2.0
999,2017-06-01,Ethiopia,Tigray,East Tigray,2.0
5397,2017-06-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5398,2017-06-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
6485,2017-06-01,Ethiopia,Afar,Kilbati,2.0
3817,2017-06-01,Ethiopia,Somali,Nogob,3.0
6711,2017-06-01,Ethiopia,Somali,Dollo,4.0
5348,2017-06-01,Ethiopia,SNNPR,Sheka,1.0
949,2017-06-01,Ethiopia,SNNPR,Sidama,2.0
6706,2017-06-01,Ethiopia,Somali,Afder,4.0
3782,2017-06-01,Ethiopia,SNNPR,Alaba,3.0
5353,2017-06-01,Ethiopia,Oromia,Arsi,1.0
5355,2017-06-01,Ethiopia,SNNPR,Basketo,1.0
5356,2017-06-01,Ethiopia,SNNPR,Bench Maji,1.0
954,2017-06-01,Ethiopia,Tigray,Central Tigray,2.0
955,2017-06-01,Ethiopia,SNNPR,Dawro,2.0
3787,2017-06-01,Ethiopia,Dire Dawa,Dire Dawa,3.0
5359,2017-06-01,Ethiopia,Amhara,East Gojam,1.0
959,2017-06-01,Ethiopia,Oromia,East Shewa,2.0
3789,2017-06-01,Ethiopia,SNNPR,Gamo Gofa,3.0
5365,2017-06-01,Ethiopia,SNNPR,Gurage,1.0
5366,2017-06-01,Ethiopia,Oromia,Horo Guduru,1.0
5368,2017-06-01,Ethiopia,Oromia,Jimma,1.0
6463,2017-06-01,Ethiopia,SNNPR,Kembata Tembaro,2.0
5370,2017-06-01,Ethiopia,SNNPR,Keffa,1.0
5372,2017-06-01,Ethiopia,SNNPR,Konta,1.0
5373,2017-06-01,Ethiopia,Gambela,Mezhenger,1.0
5374,2017-06-01,Ethiopia,Amhara,North Shewa,1.0
5376,2017-06-01,Ethiopia,Amhara,Oromia,1.0
5377,2017-06-01,Ethiopia,Amhara,South Gondar,1.0
3802,2017-06-01,Ethiopia,SNNPR,South Omo,3.0
980,2017-06-01,Ethiopia,Amhara,South Wollo,2.0
982,2017-06-01,Ethiopia,Amhara,Argoba,2.0
3804,2017-06-01,Ethiopia,Amhara,Wag Himra,3.0
5381,2017-06-01,Ethiopia,Oromia,West Arsi,1.0
5384,2017-06-01,Ethiopia,Oromia,West Shewa,1.0
5386,2017-06-01,Ethiopia,Tigray,West Tigray,1.0
987,2017-06-01,Ethiopia,SNNPR,Wolayita,2.0
5387,2017-06-01,Ethiopia,SNNPR,Yem,1.0
990,2017-06-01,Ethiopia,Afar,Gabi,2.0
992,2017-06-01,Ethiopia,Afar,Khari,2.0
5391,2017-06-01,Ethiopia,Tigray,Northwest Tigray,1.0
5396,2017-06-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
5400,2017-06-01,Ethiopia,Oromia,South West Shewa,1.0
5402,2017-06-01,Ethiopia,SNNPR,Hadiya,1.0
1005,2017-06-01,Ethiopia,SNNPR,Silltie,2.0
964,2017-06-01,Ethiopia,Harari,Harari,2.0
5401,2017-06-01,Ethiopia,Amhara,North Gondar,1.0
5382,2017-06-01,Ethiopia,Amhara,West Gojam,1.0
5354,2017-06-01,Ethiopia,Amhara,Awi,1.0
5394,2017-06-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
5399,2017-06-01,Ethiopia,Addis Ababa,Region 14,1.0
1008,2013-04-01,Ethiopia,SNNPR,Segen,3.0
1009,2013-04-01,Ethiopia,Oromia,Bale,3.0
4466,2013-04-01,Ethiopia,Oromia,Borena,2.0
4471,2013-04-01,Ethiopia,Somali,Jarar,2.0
5677,2013-04-01,Ethiopia,Oromia,East Wellega,1.0
3320,2013-04-01,Ethiopia,SNNPR,Gedeo,2.0
4476,2013-04-01,Ethiopia,Oromia,Gujii,2.0
5683,2013-04-01,Ethiopia,Oromia,Ilubabor,1.0
4478,2013-04-01,Ethiopia,Somali,Fafan,2.0
5686,2013-04-01,Ethiopia,Oromia,Kelem,1.0
4479,2013-04-01,Ethiopia,Somali,Korahe,2.0
1026,2013-04-01,Ethiopia,Somali,Liben,3.0
4874,2013-04-01,Ethiopia,Amhara,North Wollo,3.0
5690,2013-04-01,Ethiopia,Gambela,Nuer,1.0
4876,2013-04-01,Ethiopia,Somali,Sitti,3.0
4879,2013-04-01,Ethiopia,Tigray,South Tigray,3.0
4883,2013-04-01,Ethiopia,Oromia,West Hararge,3.0
5698,2013-04-01,Ethiopia,Oromia,West Wellega,1.0
1040,2013-04-01,Ethiopia,Afar,Awusi,3.0
4886,2013-04-01,Ethiopia,Afar,Fanti,3.0
