,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
6881,2009-10-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
193,2009-10-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
6882,2009-10-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
195,2009-10-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
196,2009-10-01,3.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
172,2009-10-01,3.0,Ethiopia,Gambela,Nuwer
165,2009-10-01,3.0,Ethiopia,Tigray,Mekele Special
7926,2009-10-01,99.0,Ethiopia,Addis Ababa,Region 14
178,2009-10-01,3.0,Ethiopia,Tigray,South Eastern
6821,2009-10-01,1.0,Ethiopia,Amhara,West Gojam
6784,2009-10-01,1.0,Ethiopia,Oromia,Buno Bedele
6785,2009-10-01,1.0,Ethiopia,Amhara,Central Gondar
143,2009-10-01,3.0,Ethiopia,Tigray,Eastern
145,2009-10-01,3.0,Ethiopia,Gambela,Etang Special woreda
6850,2009-10-01,2.0,Ethiopia,Harari,Harari
168,2009-10-01,3.0,Ethiopia,Amhara,North Gondar
6839,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
6822,2009-10-01,1.0,Ethiopia,Amhara,West Gondar
6779,2009-10-01,1.0,Ethiopia,Amhara,Awi
6801,2009-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
6807,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
4330,2009-07-01,3.0,Ethiopia,Somali,Afder
6885,2009-07-01,2.0,Ethiopia,Gambela,Agnewak
4331,2009-07-01,3.0,Ethiopia,SNNP,Alle
4332,2009-07-01,3.0,Ethiopia,SNNP,Amaro
4333,2009-07-01,3.0,Ethiopia,Oromia,Arsi
6725,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Asosa
4334,2009-07-01,3.0,Ethiopia,Oromia,Bale
6728,2009-07-01,1.0,Ethiopia,SNNP,Basketo
6729,2009-07-01,1.0,Ethiopia,SNNP,Bench Maji
4335,2009-07-01,3.0,Ethiopia,Oromia,Borena
4337,2009-07-01,3.0,Ethiopia,SNNP,Burji
6892,2009-07-01,2.0,Ethiopia,Tigray,Central
4340,2009-07-01,3.0,Ethiopia,Somali,Daawa
6894,2009-07-01,2.0,Ethiopia,SNNP,Dawuro
4342,2009-07-01,3.0,Ethiopia,SNNP,Derashe
6895,2009-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
95,2009-07-01,4.0,Ethiopia,Somali,Doolo
6734,2009-07-01,1.0,Ethiopia,Amhara,East Gojam
4345,2009-07-01,3.0,Ethiopia,Oromia,East Hararge
6735,2009-07-01,1.0,Ethiopia,Oromia,East Shewa
6736,2009-07-01,1.0,Ethiopia,Oromia,East Wellega
97,2009-07-01,4.0,Ethiopia,Somali,Erer
4350,2009-07-01,3.0,Ethiopia,Somali,Fafan
6738,2009-07-01,1.0,Ethiopia,Oromia,Finfine Special
4351,2009-07-01,3.0,Ethiopia,SNNP,Gamo
4352,2009-07-01,3.0,Ethiopia,SNNP,Gedeo
6905,2009-07-01,2.0,Ethiopia,SNNP,Gofa
4354,2009-07-01,3.0,Ethiopia,Oromia,Guji
4355,2009-07-01,3.0,Ethiopia,SNNP,Guraghe
4356,2009-07-01,3.0,Ethiopia,SNNP,Hadiya
4357,2009-07-01,3.0,Ethiopia,SNNP,Halaba Special
6744,2009-07-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
6745,2009-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
99,2009-07-01,4.0,Ethiopia,Somali,Jarar
6746,2009-07-01,1.0,Ethiopia,Oromia,Jimma
6747,2009-07-01,1.0,Ethiopia,SNNP,Kefa
6749,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
4362,2009-07-01,3.0,Ethiopia,SNNP,Kembata Tibaro
4363,2009-07-01,3.0,Ethiopia,SNNP,Konso
6750,2009-07-01,1.0,Ethiopia,SNNP,Konta Special
100,2009-07-01,4.0,Ethiopia,Somali,Korahe
4364,2009-07-01,3.0,Ethiopia,Somali,Liban
6752,2009-07-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
6753,2009-07-01,1.0,Ethiopia,Gambela,Mejenger
