,date,ADMIN1,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,pop_CS,pop_ML1,pop_ML2
61,2010-10-01,Harari,260022.0,203324.0,203324.0,0.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,0.0,0.0,203324.0,0.0,0.0,0.0,203324.0,203324.0,203324.0
62,2010-10-01,Oromia,31355106.0,24518117.0,9643698.0,8194268.0,6680151.0,0.0,0.0,12494290.0,10015263.0,2008564.0,0.0,0.0,12494290.0,10015263.0,2008564.0,0.0,0.0,24518117.0,24518117.0,24518117.0
63,2010-10-01,SNNPR,17075128.0,13351890.0,1510221.0,9695612.0,2146057.0,0.0,0.0,1510221.0,11841669.0,0.0,0.0,0.0,1510221.0,5655069.0,6186600.0,0.0,0.0,13351890.0,13351890.0,13351890.0
64,2010-10-01,Somali,5490380.0,4293199.0,0.0,4293199.0,0.0,0.0,0.0,0.0,2883842.0,1409357.0,0.0,0.0,0.0,3390099.0,903100.0,0.0,0.0,4293199.0,4293199.0,4293199.0
65,2010-10-01,Tigray,4410666.0,3448918.0,344490.0,698486.0,2405942.0,0.0,0.0,344490.0,3104428.0,0.0,0.0,0.0,344490.0,3104428.0,0.0,0.0,0.0,3448918.0,3448918.0,3448918.0
66,2011-01-01,Addis Ababa,3585647.0,2883776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,2011-01-01,Afar,1904414.0,1531633.0,0.0,617356.0,914277.0,0.0,0.0,0.0,617356.0,914277.0,0.0,0.0,0.0,394694.0,1136939.0,0.0,0.0,1531633.0,1531633.0,1531633.0
68,2011-01-01,Amhara,15442053.0,12419349.0,8301810.0,4117539.0,0.0,0.0,0.0,8301810.0,4117539.0,0.0,0.0,0.0,8301810.0,4117539.0,0.0,0.0,0.0,12419349.0,12419349.0,12419349.0
69,2011-01-01,Benshangul Gumuz,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,2011-01-01,Dire Dawa,508918.0,409299.0,0.0,409299.0,0.0,0.0,0.0,0.0,409299.0,0.0,0.0,0.0,0.0,409299.0,0.0,0.0,0.0,409299.0,409299.0,409299.0
71,2011-01-01,Gambela,462832.0,372233.0,0.0,238002.0,134231.0,0.0,0.0,0.0,238002.0,134231.0,0.0,0.0,0.0,238002.0,134231.0,0.0,0.0,372233.0,372233.0,372233.0
72,2011-01-01,Harari,260022.0,209124.0,0.0,209124.0,0.0,0.0,0.0,0.0,209124.0,0.0,0.0,0.0,0.0,209124.0,0.0,0.0,0.0,209124.0,209124.0,209124.0
73,2011-01-01,Oromia,31355106.0,25217506.0,11639402.0,6547697.0,7030407.0,0.0,0.0,11639402.0,6547697.0,7030407.0,0.0,0.0,11639402.0,6547697.0,7030407.0,0.0,0.0,25217506.0,25217506.0,25217506.0
74,2011-01-01,SNNPR,17075128.0,13732758.0,1553300.0,11572942.0,606516.0,0.0,0.0,1553300.0,11572942.0,606516.0,0.0,0.0,1553300.0,11572942.0,606516.0,0.0,0.0,13732758.0,13732758.0,13732758.0
75,2011-01-01,Somali,5490380.0,4415663.0,0.0,1517565.0,2898098.0,0.0,0.0,0.0,1517565.0,2898098.0,0.0,0.0,0.0,999453.0,1451061.0,1965149.0,0.0,4415663.0,4415663.0,4415663.0
76,2011-01-01,Tigray,4410666.0,3547299.0,354317.0,3192982.0,0.0,0.0,0.0,354317.0,3192982.0,0.0,0.0,0.0,354317.0,3192982.0,0.0,0.0,0.0,3547299.0,3547299.0,3547299.0
77,2011-04-01,Addis Ababa,3585647.0,2883776.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,2011-04-01,Afar,1904414.0,1531633.0,0.0,0.0,1531633.0,0.0,0.0,0.0,0.0,1531633.0,0.0,0.0,0.0,0.0,1531633.0,0.0,0.0,1531633.0,1531633.0,1531633.0
79,2011-04-01,Amhara,15442053.0,12419349.0,6269487.0,5734499.0,415363.0,0.0,0.0,6269487.0,5734499.0,415363.0,0.0,0.0,6269487.0,5734499.0,415363.0,0.0,0.0,12419349.0,12419349.0,12419349.0
80,2011-04-01,Benshangul Gumuz,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,2011-04-01,Dire Dawa,508918.0,409299.0,0.0,409299.0,0.0,0.0,0.0,0.0,409299.0,0.0,0.0,0.0,0.0,409299.0,0.0,0.0,0.0,409299.0,409299.0,409299.0
