,date,ADM1_EN,Total,adjusted_population,CS_1,CS_2,CS_3,CS_4,CS_5,ML1_1,ML1_2,ML1_3,ML1_4,ML1_5,ML2_1,ML2_2,ML2_3,ML2_4,ML2_5,total_pop
121,2012-04-01,Addis Ababa,3585647,2966541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,2012-04-01,Afar,1904414,1575591,0,1167082,408509,0,0,0,635075,940516,0,0,0,1575591,0,0,0,1575591
123,2012-04-01,Amhara,21790172,18027827,8278929,7881768,1867130,0,0,8278929,7881768,1867130,0,0,8278929,7881768,1867130,0,0,18027827
124,2012-04-01,Benishangul Gumz,1102849,912427,912427,0,0,0,0,912427,0,0,0,0,912427,0,0,0,0,912427
125,2012-04-01,Dire Dawa,508918,421046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,2012-04-01,Gambela,462832,382916,244833,138083,0,0,0,244833,138083,0,0,0,244833,138083,0,0,0,382916
127,2012-04-01,Harari,260022,215126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,2012-04-01,Oromia,37843293,31309178,17476373,9581321,4251484,0,0,17476373,9581321,4251484,0,0,17476373,7456171,6376634,0,0,31309178
129,2012-04-01,SNNP,20262695,16764080,4151450,7242411,5370219,0,0,4151450,7242411,5370219,0,0,4088977,10894597,1780506,0,0,16764080
130,2012-04-01,Somali,6216411,5143065,0,0,5143065,0,0,0,0,5143065,0,0,0,1561120,3581945,0,0,5143065
131,2012-04-01,Tigray,5357192,4432205,364486,4067719,0,0,0,364486,4067719,0,0,0,364486,4067719,0,0,0,4432205
132,2012-07-01,Addis Ababa,3585647,2966541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,2012-07-01,Afar,1904414,1575591,0,1043584,532007,0,0,0,1043584,532007,0,0,0,1043584,532007,0,0,1575591
134,2012-07-01,Amhara,21790172,18027827,8278929,5195546,4553352,0,0,8278929,5195546,4553352,0,0,12738164,3422533,1867130,0,0,18027827
135,2012-07-01,Benishangul Gumz,1102849,912427,912427,0,0,0,0,912427,0,0,0,0,912427,0,0,0,0,912427
136,2012-07-01,Dire Dawa,508918,421046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,2012-07-01,Gambela,462832,382916,382916,0,0,0,0,382916,0,0,0,0,382916,0,0,0,0,382916
138,2012-07-01,Harari,260022,215126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,2012-07-01,Oromia,37843293,31309178,12807844,10374468,8126866,0,0,12807844,10374468,8126866,0,0,20492426,10816752,0,0,0,31309178
140,2012-07-01,SNNP,20262695,16764080,2531839,1619611,12612630,0,0,2531839,1619611,12612630,0,0,4151450,12612630,0,0,0,16764080
141,2012-07-01,Somali,6216411,5143065,0,0,5143065,0,0,0,0,5143065,0,0,0,4610083,532982,0,0,5143065
142,2012-07-01,Tigray,5357192,4432205,364486,4067719,0,0,0,364486,4067719,0,0,0,1103515,1928507,1400183,0,0,4432205
143,2012-10-01,Addis Ababa,3585647,2966541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,2012-10-01,Afar,1904414,1575591,0,1043584,532007,0,0,0,1043584,532007,0,0,0,402298,1173293,0,0,1575591
145,2012-10-01,Amhara,21790172,18027827,12738164,3422533,1867130,0,0,12738164,3422533,1867130,0,0,10176089,5984608,1867130,0,0,18027827
146,2012-10-01,Benishangul Gumz,1102849,912427,912427,0,0,0,0,912427,0,0,0,0,912427,0,0,0,0,912427
147,2012-10-01,Dire Dawa,508918,421046,0,421046,0,0,0,0,421046,0,0,0,0,0,421046,0,0,421046
148,2012-10-01,Gambela,462832,382916,382916,0,0,0,0,382916,0,0,0,0,382916,0,0,0,0,382916
149,2012-10-01,Harari,260022,215126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,2012-10-01,Oromia,37843293,31309178,20492426,10816752,0,0,0,20492426,10816752,0,0,0,18643807,7446093,5219278,0,0,31309178
151,2012-10-01,SNNP,20262695,16764080,4151450,12612630,0,0,0,4151450,12612630,0,0,0,4667368,3836819,8259893,0,0,16764080
152,2012-10-01,Somali,6216411,5143065,0,4610083,532982,0,0,0,4610083,532982,0,0,0,3272735,1870330,0,0,5143065
153,2012-10-01,Tigray,5357192,4432205,1103515,1928507,1400183,0,0,1103515,1928507,1400183,0,0,364486,1884440,2183279,0,0,4432205
154,2013-01-01,Addis Ababa,3585647,3051602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,2013-01-01,Afar,1904414,1620769,0,964926,655843,0,0,0,964926,655843,0,0,0,964926,655843,0,0,1620769
156,2013-01-01,Amhara,21790172,18544752,12618473,5486743,439536,0,0,12618473,1242365,4683914,0,0,13375897,0,5168855,0,0,18544752
157,2013-01-01,Benishangul Gumz,1102849,938589,938589,0,0,0,0,938589,0,0,0,0,938589,0,0,0,0,938589
158,2013-01-01,Dire Dawa,508918,433119,0,0,433119,0,0,0,0,433119,0,0,0,0,433119,0,0,433119
159,2013-01-01,Gambela,462832,393896,209080,184816,0,0,0,209080,184816,0,0,0,209080,184816,0,0,0,393896
160,2013-01-01,Harari,260022,221294,0,0,221294,0,0,0,0,221294,0,0,0,0,221294,0,0,221294
161,2013-01-01,Oromia,37843293,32206924,20406205,6431785,5368934,0,0,20406205,5170112,6630607,0,0,20406205,3563737,8236982,0,0,32206924
162,2013-01-01,SNNP,20262695,17244768,4270489,12974279,0,0,0,4270489,4049063,8925216,0,0,4270489,4049063,8925216,0,0,17244768
163,2013-01-01,Somali,6216411,5290539,0,3802227,1488312,0,0,0,2150482,3140057,0,0,0,4353229,937310,0,0,5290539
164,2013-01-01,Tigray,5357192,4559293,1135157,1983804,1440332,0,0,1135157,1983804,1440332,0,0,374937,760220,3424136,0,0,4559293
165,2013-04-01,Addis Ababa,3585647,3051602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
