,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
127,2009-10-01,3.0,Ethiopia,Somali,Korahe
8543,2009-10-01,99.0,Ethiopia,Oromia,Finfine Special
8547,2009-10-01,99.0,Ethiopia,Addis Ababa,Region 14
8550,2009-10-01,99.0,Ethiopia,Amhara,West Gojam
5307,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
5324,2009-10-01,2.0,Ethiopia,Oromia,Horo Gudru Wellega
5332,2009-10-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5337,2009-10-01,2.0,Ethiopia,Oromia,North Shewa
5355,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
5241,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
5264,2009-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
5270,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5278,2009-10-01,1.0,Ethiopia,SNNP,Sheka
5286,2009-10-01,1.0,Ethiopia,Amhara,West Gondar
5242,2009-10-01,1.0,Ethiopia,Amhara,Awi
210,2010-01-01,4.0,Ethiopia,Somali,Afder
211,2010-01-01,4.0,Ethiopia,Gambela,Agnewak
144,2010-01-01,3.0,Ethiopia,SNNP,Alle
145,2010-01-01,3.0,Ethiopia,SNNP,Amaro
146,2010-01-01,3.0,Ethiopia,Oromia,Arsi
147,2010-01-01,3.0,Ethiopia,Oromia,Bale
5423,2010-01-01,2.0,Ethiopia,SNNP,Basketo
212,2010-01-01,4.0,Ethiopia,SNNP,Bench Maji
148,2010-01-01,3.0,Ethiopia,Oromia,Borena
5372,2010-01-01,1.0,Ethiopia,Oromia,Buno Bedele
149,2010-01-01,3.0,Ethiopia,SNNP,Burji
213,2010-01-01,4.0,Ethiopia,Tigray,Central
214,2010-01-01,4.0,Ethiopia,Amhara,Central Gondar
151,2010-01-01,3.0,Ethiopia,Somali,Daawa
152,2010-01-01,3.0,Ethiopia,SNNP,Dawuro
153,2010-01-01,3.0,Ethiopia,SNNP,Derashe
215,2010-01-01,4.0,Ethiopia,Dire Dawa,Dire Dawa rural
8551,2010-01-01,99.0,Ethiopia,Amhara,East Gojam
158,2010-01-01,3.0,Ethiopia,Oromia,East Hararge
159,2010-01-01,3.0,Ethiopia,Oromia,East Shewa
5434,2010-01-01,2.0,Ethiopia,Oromia,East Wellega
217,2010-01-01,4.0,Ethiopia,Tigray,Eastern
161,2010-01-01,3.0,Ethiopia,Somali,Erer
218,2010-01-01,4.0,Ethiopia,Gambela,Etang Special woreda
219,2010-01-01,4.0,Ethiopia,Somali,Fafan
164,2010-01-01,3.0,Ethiopia,SNNP,Gamo
5440,2010-01-01,2.0,Ethiopia,SNNP,Gedeo
165,2010-01-01,3.0,Ethiopia,SNNP,Gofa
166,2010-01-01,3.0,Ethiopia,Oromia,Guji
167,2010-01-01,3.0,Ethiopia,SNNP,Guraghe
