,date,ML1,ADM0_EN,ADM1_EN,ADM2_EN
312,2010-04-01,2.0,Ethiopia,SNNP,Wolayita
5266,2010-04-01,1.0,Ethiopia,SNNP,Yem Special
314,2010-04-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
377,2010-04-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
315,2010-04-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
379,2010-04-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
317,2010-04-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
331,2010-04-01,3.0,Ethiopia,Somali,Doolo
348,2010-04-01,3.0,Ethiopia,Somali,Korahe
5230,2010-04-01,1.0,Ethiopia,Oromia,Finfine Special
5251,2010-04-01,1.0,Ethiopia,Addis Ababa,Region 14
5259,2010-04-01,1.0,Ethiopia,Amhara,West Gojam
257,2010-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
5236,2010-04-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
285,2010-04-01,2.0,Ethiopia,Benishangul Gumz,Mao Komo Special
292,2010-04-01,2.0,Ethiopia,Oromia,North Shewa
309,2010-04-01,2.0,Ethiopia,Oromia,West Shewa
245,2010-04-01,2.0,Ethiopia,Benishangul Gumz,Asosa
5240,2010-04-01,1.0,Ethiopia,Oromia,Kelem Wellega
5245,2010-04-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5252,2010-04-01,1.0,Ethiopia,SNNP,Sheka
5260,2010-04-01,1.0,Ethiopia,Amhara,West Gondar
5217,2010-04-01,1.0,Ethiopia,Amhara,Awi
404,2010-07-01,2.0,Ethiopia,Somali,Afder
485,2010-07-01,3.0,Ethiopia,Gambela,Agnewak
406,2010-07-01,2.0,Ethiopia,SNNP,Alle
5268,2010-07-01,1.0,Ethiopia,SNNP,Amaro
408,2010-07-01,2.0,Ethiopia,Oromia,Arsi
410,2010-07-01,2.0,Ethiopia,Oromia,Bale
411,2010-07-01,2.0,Ethiopia,SNNP,Basketo
5274,2010-07-01,1.0,Ethiopia,SNNP,Bench Maji
413,2010-07-01,2.0,Ethiopia,Oromia,Borena
5276,2010-07-01,1.0,Ethiopia,Oromia,Buno Bedele
414,2010-07-01,2.0,Ethiopia,SNNP,Burji
493,2010-07-01,3.0,Ethiopia,Tigray,Central
5278,2010-07-01,1.0,Ethiopia,Amhara,Central Gondar
416,2010-07-01,2.0,Ethiopia,Somali,Daawa
417,2010-07-01,2.0,Ethiopia,SNNP,Dawuro
418,2010-07-01,2.0,Ethiopia,SNNP,Derashe
496,2010-07-01,3.0,Ethiopia,Dire Dawa,Dire Dawa rural
5280,2010-07-01,1.0,Ethiopia,Amhara,East Gojam
499,2010-07-01,3.0,Ethiopia,Oromia,East Hararge
500,2010-07-01,3.0,Ethiopia,Oromia,East Shewa
5283,2010-07-01,1.0,Ethiopia,Oromia,East Wellega
501,2010-07-01,3.0,Ethiopia,Tigray,Eastern
502,2010-07-01,3.0,Ethiopia,Somali,Erer
503,2010-07-01,3.0,Ethiopia,Gambela,Etang Special woreda
427,2010-07-01,2.0,Ethiopia,Somali,Fafan
506,2010-07-01,3.0,Ethiopia,SNNP,Gamo
430,2010-07-01,2.0,Ethiopia,SNNP,Gedeo
508,2010-07-01,3.0,Ethiopia,SNNP,Gofa
5289,2010-07-01,1.0,Ethiopia,Oromia,Guji
433,2010-07-01,2.0,Ethiopia,SNNP,Guraghe
434,2010-07-01,2.0,Ethiopia,SNNP,Hadiya
512,2010-07-01,3.0,Ethiopia,SNNP,Halaba Special
5292,2010-07-01,1.0,Ethiopia,Harari,Harari
5294,2010-07-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
438,2010-07-01,2.0,Ethiopia,Somali,Jarar
5295,2010-07-01,1.0,Ethiopia,Oromia,Jimma
5296,2010-07-01,1.0,Ethiopia,SNNP,Kefa
5298,2010-07-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
443,2010-07-01,2.0,Ethiopia,SNNP,Kembata Tibaro
444,2010-07-01,2.0,Ethiopia,SNNP,Konso
445,2010-07-01,2.0,Ethiopia,SNNP,Konta Special
447,2010-07-01,2.0,Ethiopia,Somali,Liban
520,2010-07-01,3.0,Ethiopia,Gambela,Mejenger
521,2010-07-01,3.0,Ethiopia,Tigray,Mekele Special
5303,2010-07-01,1.0,Ethiopia,SNNP,Mirab Omo
452,2010-07-01,2.0,Ethiopia,Somali,Nogob
524,2010-07-01,3.0,Ethiopia,Amhara,North Gondar
525,2010-07-01,3.0,Ethiopia,Amhara,North Shewa
527,2010-07-01,3.0,Ethiopia,Amhara,North Wello
456,2010-07-01,2.0,Ethiopia,Tigray,North Western
529,2010-07-01,3.0,Ethiopia,Gambela,Nuwer
458,2010-07-01,2.0,Ethiopia,Amhara,Oromia
459,2010-07-01,2.0,Ethiopia,Somali,Shabelle
461,2010-07-01,2.0,Ethiopia,SNNP,Sidama
535,2010-07-01,3.0,Ethiopia,SNNP,Siltie
463,2010-07-01,2.0,Ethiopia,Somali,Siti
537,2010-07-01,3.0,Ethiopia,Tigray,South Eastern
538,2010-07-01,3.0,Ethiopia,Amhara,South Gondar
465,2010-07-01,2.0,Ethiopia,SNNP,South Omo
466,2010-07-01,2.0,Ethiopia,Amhara,South Wello
5315,2010-07-01,1.0,Ethiopia,Oromia,South West Shewa
542,2010-07-01,3.0,Ethiopia,Tigray,Southern
543,2010-07-01,3.0,Ethiopia,Amhara,Wag Hamra
5316,2010-07-01,1.0,Ethiopia,Oromia,West Arsi
472,2010-07-01,2.0,Ethiopia,Oromia,West Guji
546,2010-07-01,3.0,Ethiopia,Oromia,West Hararge
5321,2010-07-01,1.0,Ethiopia,Oromia,West Wellega
5322,2010-07-01,1.0,Ethiopia,Tigray,Western
477,2010-07-01,2.0,Ethiopia,SNNP,Wolayita
5323,2010-07-01,1.0,Ethiopia,SNNP,Yem Special
479,2010-07-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
