,date,CS,ADM0_EN,ADM1_EN,ADM2_EN
4931,2009-10-01,1.0,Ethiopia,SNNP,Basketo
4932,2009-10-01,1.0,Ethiopia,SNNP,Bench Maji
121,2009-10-01,3.0,Ethiopia,Gambela,Etang Special woreda
4948,2009-10-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
4950,2009-10-01,1.0,Ethiopia,SNNP,Kefa
4953,2009-10-01,1.0,Ethiopia,SNNP,Konta Special
4956,2009-10-01,1.0,Ethiopia,Gambela,Mejenger
4928,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Asosa
4989,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
4947,2009-10-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
4951,2009-10-01,1.0,Ethiopia,Oromia,Kelem Wellega
4955,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
4957,2009-10-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5012,2009-10-01,2.0,Ethiopia,Oromia,North Shewa
4964,2009-10-01,1.0,Ethiopia,SNNP,Sheka
5027,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
4929,2009-10-01,1.0,Ethiopia,Amhara,Awi
4972,2009-10-01,1.0,Ethiopia,Amhara,West Gondar
189,2010-01-01,3.0,Ethiopia,Somali,Afder
191,2010-01-01,3.0,Ethiopia,SNNP,Alle
192,2010-01-01,3.0,Ethiopia,SNNP,Amaro
5092,2010-01-01,2.0,Ethiopia,Oromia,Arsi
193,2010-01-01,3.0,Ethiopia,Oromia,Bale
196,2010-01-01,3.0,Ethiopia,Oromia,Borena
5043,2010-01-01,1.0,Ethiopia,Oromia,Buno Bedele
197,2010-01-01,3.0,Ethiopia,SNNP,Burji
5098,2010-01-01,2.0,Ethiopia,Tigray,Central
5044,2010-01-01,1.0,Ethiopia,Amhara,Central Gondar
200,2010-01-01,3.0,Ethiopia,Somali,Daawa
5100,2010-01-01,2.0,Ethiopia,SNNP,Dawuro
201,2010-01-01,3.0,Ethiopia,SNNP,Derashe
5102,2010-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5046,2010-01-01,1.0,Ethiopia,Amhara,East Gojam
5105,2010-01-01,2.0,Ethiopia,Oromia,East Hararge
5106,2010-01-01,2.0,Ethiopia,Oromia,East Shewa
5048,2010-01-01,1.0,Ethiopia,Oromia,East Wellega
5108,2010-01-01,2.0,Ethiopia,Tigray,Eastern
205,2010-01-01,3.0,Ethiopia,Somali,Erer
5110,2010-01-01,2.0,Ethiopia,Somali,Fafan
5112,2010-01-01,2.0,Ethiopia,SNNP,Gamo
5113,2010-01-01,2.0,Ethiopia,SNNP,Gedeo
5114,2010-01-01,2.0,Ethiopia,SNNP,Gofa
210,2010-01-01,3.0,Ethiopia,Oromia,Guji
5116,2010-01-01,2.0,Ethiopia,SNNP,Guraghe
5117,2010-01-01,2.0,Ethiopia,SNNP,Hadiya
5118,2010-01-01,2.0,Ethiopia,SNNP,Halaba Special
5119,2010-01-01,2.0,Ethiopia,Harari,Harari
212,2010-01-01,3.0,Ethiopia,Somali,Jarar
5058,2010-01-01,1.0,Ethiopia,Oromia,Jimma
5061,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
5123,2010-01-01,2.0,Ethiopia,SNNP,Kembata Tibaro
214,2010-01-01,3.0,Ethiopia,SNNP,Konso
217,2010-01-01,3.0,Ethiopia,Somali,Liban
5126,2010-01-01,2.0,Ethiopia,Tigray,Mekele Special
5127,2010-01-01,2.0,Ethiopia,SNNP,Mirab Omo
220,2010-01-01,3.0,Ethiopia,Somali,Nogob
5128,2010-01-01,2.0,Ethiopia,Amhara,North Gondar
5129,2010-01-01,2.0,Ethiopia,Amhara,North Shewa
5131,2010-01-01,2.0,Ethiopia,Amhara,North Wello
5132,2010-01-01,2.0,Ethiopia,Tigray,North Western
224,2010-01-01,3.0,Ethiopia,Gambela,Nuwer
5133,2010-01-01,2.0,Ethiopia,Amhara,Oromia
226,2010-01-01,3.0,Ethiopia,Somali,Shabelle
5134,2010-01-01,2.0,Ethiopia,SNNP,Sidama
5135,2010-01-01,2.0,Ethiopia,SNNP,Siltie
5136,2010-01-01,2.0,Ethiopia,Somali,Siti
5137,2010-01-01,2.0,Ethiopia,Tigray,South Eastern
5138,2010-01-01,2.0,Ethiopia,Amhara,South Gondar
229,2010-01-01,3.0,Ethiopia,SNNP,South Omo
5140,2010-01-01,2.0,Ethiopia,Amhara,South Wello
5079,2010-01-01,1.0,Ethiopia,Oromia,South West Shewa
231,2010-01-01,3.0,Ethiopia,Tigray,Southern
232,2010-01-01,3.0,Ethiopia,Amhara,Wag Hamra
5144,2010-01-01,2.0,Ethiopia,Oromia,West Arsi
5145,2010-01-01,2.0,Ethiopia,Oromia,West Guji
5146,2010-01-01,2.0,Ethiopia,Oromia,West Hararge
5085,2010-01-01,1.0,Ethiopia,Oromia,West Wellega
5086,2010-01-01,1.0,Ethiopia,Tigray,Western
5149,2010-01-01,2.0,Ethiopia,SNNP,Wolayita
5087,2010-01-01,1.0,Ethiopia,SNNP,Yem Special
234,2010-01-01,3.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
235,2010-01-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
5153,2010-01-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
237,2010-01-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
5155,2010-01-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
190,2010-01-01,3.0,Ethiopia,Gambela,Agnewak
202,2010-01-01,3.0,Ethiopia,Somali,Doolo
216,2010-01-01,3.0,Ethiopia,Somali,Korahe
5050,2010-01-01,1.0,Ethiopia,Oromia,Finfine Special
5073,2010-01-01,1.0,Ethiopia,Addis Ababa,Region 14
5081,2010-01-01,1.0,Ethiopia,Amhara,West Gojam
5040,2010-01-01,1.0,Ethiopia,SNNP,Basketo
5041,2010-01-01,1.0,Ethiopia,SNNP,Bench Maji
206,2010-01-01,3.0,Ethiopia,Gambela,Etang Special woreda
5057,2010-01-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
5059,2010-01-01,1.0,Ethiopia,SNNP,Kefa
5062,2010-01-01,1.0,Ethiopia,SNNP,Konta Special
5065,2010-01-01,1.0,Ethiopia,Gambela,Mejenger
5037,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Asosa
5103,2010-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa urban
5056,2010-01-01,1.0,Ethiopia,Oromia,Horo Gudru Wellega
5060,2010-01-01,1.0,Ethiopia,Oromia,Kelem Wellega
5064,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Mao Komo Special
5066,2010-01-01,1.0,Ethiopia,Benishangul Gumz,Metekel
5130,2010-01-01,2.0,Ethiopia,Oromia,North Shewa
5074,2010-01-01,1.0,Ethiopia,SNNP,Sheka
5147,2010-01-01,2.0,Ethiopia,Oromia,West Shewa
5038,2010-01-01,1.0,Ethiopia,Amhara,Awi
5082,2010-01-01,1.0,Ethiopia,Amhara,West Gondar
242,2010-04-01,2.0,Ethiopia,Somali,Afder
321,2010-04-01,3.0,Ethiopia,SNNP,Alle
322,2010-04-01,3.0,Ethiopia,SNNP,Amaro
5158,2010-04-01,1.0,Ethiopia,Oromia,Arsi
247,2010-04-01,2.0,Ethiopia,Oromia,Bale
250,2010-04-01,2.0,Ethiopia,Oromia,Borena
5165,2010-04-01,1.0,Ethiopia,Oromia,Buno Bedele
327,2010-04-01,3.0,Ethiopia,SNNP,Burji
328,2010-04-01,3.0,Ethiopia,Tigray,Central
5167,2010-04-01,1.0,Ethiopia,Amhara,Central Gondar
254,2010-04-01,2.0,Ethiopia,Somali,Daawa
255,2010-04-01,2.0,Ethiopia,SNNP,Dawuro
331,2010-04-01,3.0,Ethiopia,SNNP,Derashe
257,2010-04-01,2.0,Ethiopia,Dire Dawa,Dire Dawa rural
5169,2010-04-01,1.0,Ethiopia,Amhara,East Gojam
334,2010-04-01,3.0,Ethiopia,Oromia,East Hararge
335,2010-04-01,3.0,Ethiopia,Oromia,East Shewa
5171,2010-04-01,1.0,Ethiopia,Oromia,East Wellega
336,2010-04-01,3.0,Ethiopia,Tigray,Eastern
337,2010-04-01,3.0,Ethiopia,Somali,Erer
265,2010-04-01,2.0,Ethiopia,Somali,Fafan
267,2010-04-01,2.0,Ethiopia,SNNP,Gamo
268,2010-04-01,2.0,Ethiopia,SNNP,Gedeo
269,2010-04-01,2.0,Ethiopia,SNNP,Gofa
5176,2010-04-01,1.0,Ethiopia,Oromia,Guji
271,2010-04-01,2.0,Ethiopia,SNNP,Guraghe
272,2010-04-01,2.0,Ethiopia,SNNP,Hadiya
344,2010-04-01,3.0,Ethiopia,SNNP,Halaba Special
345,2010-04-01,3.0,Ethiopia,Harari,Harari
347,2010-04-01,3.0,Ethiopia,Somali,Jarar
5181,2010-04-01,1.0,Ethiopia,Oromia,Jimma
5184,2010-04-01,1.0,Ethiopia,Benishangul Gumz,Kemashi
281,2010-04-01,2.0,Ethiopia,SNNP,Kembata Tibaro
349,2010-04-01,3.0,Ethiopia,SNNP,Konso
285,2010-04-01,2.0,Ethiopia,Somali,Liban
353,2010-04-01,3.0,Ethiopia,Tigray,Mekele Special
289,2010-04-01,2.0,Ethiopia,SNNP,Mirab Omo
355,2010-04-01,3.0,Ethiopia,Somali,Nogob
291,2010-04-01,2.0,Ethiopia,Amhara,North Gondar
357,2010-04-01,3.0,Ethiopia,Amhara,North Shewa
358,2010-04-01,3.0,Ethiopia,Amhara,North Wello
295,2010-04-01,2.0,Ethiopia,Tigray,North Western
360,2010-04-01,3.0,Ethiopia,Gambela,Nuwer
361,2010-04-01,3.0,Ethiopia,Amhara,Oromia
298,2010-04-01,2.0,Ethiopia,Somali,Shabelle
300,2010-04-01,2.0,Ethiopia,SNNP,Sidama
301,2010-04-01,2.0,Ethiopia,SNNP,Siltie
302,2010-04-01,2.0,Ethiopia,Somali,Siti
366,2010-04-01,3.0,Ethiopia,Tigray,South Eastern
5197,2010-04-01,1.0,Ethiopia,Amhara,South Gondar
304,2010-04-01,2.0,Ethiopia,SNNP,South Omo
305,2010-04-01,2.0,Ethiopia,Amhara,South Wello
5200,2010-04-01,1.0,Ethiopia,Oromia,South West Shewa
371,2010-04-01,3.0,Ethiopia,Tigray,Southern
402,2010-04-01,4.0,Ethiopia,Amhara,Wag Hamra
5201,2010-04-01,1.0,Ethiopia,Oromia,West Arsi
5204,2010-04-01,1.0,Ethiopia,Oromia,West Guji
375,2010-04-01,3.0,Ethiopia,Oromia,West Hararge
5207,2010-04-01,1.0,Ethiopia,Oromia,West Wellega
5208,2010-04-01,1.0,Ethiopia,Tigray,Western
313,2010-04-01,2.0,Ethiopia,SNNP,Wolayita
5209,2010-04-01,1.0,Ethiopia,SNNP,Yem Special
315,2010-04-01,2.0,Ethiopia,Afar,Zone 1 (Awsi Rasu)
379,2010-04-01,3.0,Ethiopia,Afar,Zone 2 (Kilbet Rasu)
316,2010-04-01,2.0,Ethiopia,Afar,Zone 3 (Gabi Rasu)
381,2010-04-01,3.0,Ethiopia,Afar,Zone 4 (Fantana Rasu)
318,2010-04-01,2.0,Ethiopia,Afar,Zone 5 (Hari Rasu)
320,2010-04-01,3.0,Ethiopia,Gambela,Agnewak
333,2010-04-01,3.0,Ethiopia,Somali,Doolo
350,2010-04-01,3.0,Ethiopia,Somali,Korahe
5173,2010-04-01,1.0,Ethiopia,Oromia,Finfine Special
5194,2010-04-01,1.0,Ethiopia,Addis Ababa,Region 14
5202,2010-04-01,1.0,Ethiopia,Amhara,West Gojam
5162,2010-04-01,1.0,Ethiopia,SNNP,Basketo
5163,2010-04-01,1.0,Ethiopia,SNNP,Bench Maji
338,2010-04-01,3.0,Ethiopia,Gambela,Etang Special woreda
5180,2010-04-01,1.0,Ethiopia,Oromia,Ilu Aba Bora
5182,2010-04-01,1.0,Ethiopia,SNNP,Kefa
5185,2010-04-01,1.0,Ethiopia,SNNP,Konta Special
5187,2010-04-01,1.0,Ethiopia,Gambela,Mejenger
