admin2Name_fr,admin2Pcode,admin2RefName,admin2Name_MAJ,admin2AltName1_fr,admin2AltName2_fr,admin1Name_fr,admin1Pcode,admin0Name_fr,admin0Pcode,F,M,T,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80plus
Mangalmé,TD0404,Mangalme,MANGALME,<Null>,<Null>,Guéra,TD04,Tchad,TD,57174 ,54913 ,112087 ,6704 ,5743 ,22010 ,8346 ,2346 ,2435 ,2041 ,1741 ,1481 ,1232 ,967 ,722 ,465 ,300 ,201 ,121 ,319 ,7004 ,5991 ,20123 ,8007 ,2537 ,2432 ,1864 ,1483 ,1109 ,918 ,932 ,806 ,551 ,384 ,279 ,171 ,322 ,13707 ,11734 ,42133 ,16353 ,4882 ,4867 ,3905 ,3225 ,2590 ,2151 ,1899 ,1529 ,1017 ,684 ,479 ,292 ,642 
Dagana,TD0501,Dagana,DAGANA,<Null>,<Null>,Hadjer-Lamis,TD05,Tchad,TD,136209 ,136989 ,273198 ,25956 ,21218 ,18114 ,16452 ,11722 ,8760 ,7859 ,6665 ,5202 ,4108 ,3114 ,2328 ,1661 ,1177 ,831 ,534 ,508 ,27116 ,22132 ,18664 ,17013 ,12053 ,8498 ,5994 ,4690 ,4432 ,3982 ,3405 ,2802 ,2112 ,1576 ,1142 ,731 ,647 ,53072 ,43349 ,36778 ,33464 ,23775 ,17258 ,13853 ,11355 ,9634 ,8090 ,6520 ,5129 ,3773 ,2753 ,1973 ,1265 ,1155 
Dababa,TD0502,Dababa,DABABA,<Null>,<Null>,Hadjer-Lamis,TD05,Tchad,TD,165199 ,166150 ,331349 ,31481 ,25734 ,21970 ,19953 ,14217 ,10625 ,9532 ,8084 ,6309 ,4982 ,3777 ,2823 ,2015 ,1427 ,1007 ,647 ,616 ,32888 ,26843 ,22637 ,20634 ,14619 ,10307 ,7270 ,5688 ,5376 ,4829 ,4130 ,3398 ,2562 ,1912 ,1385 ,887 ,785 ,64369 ,52576 ,44607 ,40587 ,28836 ,20931 ,16802 ,13772 ,11685 ,9812 ,7908 ,6221 ,4576 ,3340 ,2393 ,1534 ,1401 
Haraze-Al-Biar,TD0503,Haraze-Al-Biar,HARAZE-AL-BIAR,<Null>,<Null>,Hadjer-Lamis,TD05,Tchad,TD,108527 ,109150 ,217677 ,20681 ,16906 ,14433 ,13108 ,9339 ,6980 ,6262 ,5311 ,4145 ,3273 ,2481 ,1855 ,1323 ,938 ,662 ,425 ,405 ,21605 ,17634 ,14871 ,13555 ,9604 ,6771 ,4776 ,3737 ,3532 ,3173 ,2713 ,2232 ,1683 ,1256 ,910 ,582 ,516 ,42286 ,34539 ,29304 ,26663 ,18943 ,13751 ,11038 ,9047 ,7676 ,6446 ,5195 ,4087 ,3006 ,2194 ,1572 ,1008 ,920 
Kanem,TD0601,Kanem,KANEM,<Null>,<Null>,Kanem,TD06,Tchad,TD,115723 ,113207 ,228930 ,22693 ,18767 ,12679 ,12119 ,10147 ,8144 ,6546 ,5454 ,4900 ,4173 ,3178 ,2385 ,1696 ,1180 ,794 ,483 ,385 ,23708 ,19575 ,13694 ,13168 ,10550 ,7717 ,4676 ,3263 ,3091 ,2878 ,2788 ,2449 ,1853 ,1416 ,1111 ,726 ,544 ,46401 ,38342 ,26373 ,25287 ,20698 ,15861 ,11222 ,8717 ,7990 ,7050 ,5966 ,4834 ,3549 ,2596 ,1905 ,1210 ,929 
Nord Kanem,TD0602,Nord Kanem,NORD KANEM,<Null>,<Null>,Kanem,TD06,Tchad,TD,68724 ,67230 ,135954 ,13476 ,11145 ,7530 ,7197 ,6026 ,4837 ,3888 ,3239 ,2910 ,2478 ,1887 ,1416 ,1007 ,701 ,471 ,287 ,229 ,14079 ,11625 ,8132 ,7820 ,6265 ,4583 ,2777 ,1938 ,1836 ,1709 ,1655 ,1455 ,1101 ,841 ,660 ,431 ,323 ,27556 ,22770 ,15662 ,15017 ,12292 ,9419 ,6664 ,5177 ,4745 ,4187 ,3543 ,2871 ,2108 ,1542 ,1132 ,718 ,552 
Wadi Bissam,TD0603,Wadi-Bissam,WADI-BISSAM,<Null>,<Null>,Kanem,TD06,Tchad,TD,67425 ,65959 ,133384 ,13222 ,10934 ,7387 ,7061 ,5912 ,4745 ,3814 ,3178 ,2855 ,2431 ,1852 ,1389 ,988 ,687 ,463 ,282 ,225 ,13813 ,11405 ,7979 ,7672 ,6147 ,4496 ,2724 ,1901 ,1801 ,1677 ,1624 ,1427 ,1080 ,825 ,648 ,423 ,317 ,27035 ,22340 ,15366 ,14733 ,12059 ,9241 ,6538 ,5079 ,4655 ,4108 ,3476 ,2816 ,2068 ,1512 ,1110 ,705 ,542 
Mamdi,TD0701,Mamdi,MAMDI,<Null>,<Null>,Lac,TD07,Tchad,TD,82107 ,83508 ,165615 ,15970 ,13113 ,10303 ,9439 ,7033 ,5407 ,4838 ,4115 ,3263 ,2592 ,1942 ,1433 ,1019 ,701 ,446 ,263 ,230 ,16684 ,13677 ,11137 ,10219 ,7320 ,5152 ,3518 ,2729 ,2671 ,2468 ,2222 ,1862 ,1363 ,992 ,708 ,440 ,346 ,32654 ,26790 ,21440 ,19658 ,14353 ,10558 ,8356 ,6844 ,5934 ,5060 ,4164 ,3295 ,2382 ,1693 ,1153 ,703 ,576 
Wayi,TD0702,Wayi,WAYI,<Null>,<Null>,Lac,TD07,Tchad,TD,153938 ,156572 ,310510 ,29942 ,24584 ,19318 ,17698 ,13186 ,10137 ,9071 ,7716 ,6117 ,4859 ,3640 ,2686 ,1911 ,1314 ,835 ,493 ,431 ,31281 ,25643 ,20881 ,19160 ,13724 ,9659 ,6597 ,5117 ,5008 ,4628 ,4167 ,3490 ,2555 ,1860 ,1327 ,826 ,649 ,61222 ,50227 ,40198 ,36857 ,26910 ,19795 ,15667 ,12832 ,11125 ,9487 ,7807 ,6177 ,4466 ,3174 ,2163 ,1319 ,1080 
Kaya,TD0703,Kaya,KAYA,<Null>,<Null>,Lac,TD07,Tchad,TD,28407 ,28889 ,57296 ,5525 ,4536 ,3565 ,3266 ,2433 ,1871 ,1674 ,1424 ,1129 ,897 ,672 ,496 ,353 ,242 ,154 ,91 ,79 ,5772 ,4732 ,3853 ,3535 ,2532 ,1782 ,1217 ,944 ,924 ,854 ,769 ,644 ,471 ,343 ,245 ,152 ,120 ,11297 ,9268 ,7418 ,6801 ,4966 ,3653 ,2891 ,2368 ,2053 ,1751 ,1441 ,1140 ,824 ,586 ,399 ,243 ,199 
Fouli,TD0704,Fouli,FOULI,<Null>,<Null>,Lac,TD07,Tchad,TD,52173 ,53068 ,105241 ,10148 ,8333 ,6547 ,5998 ,4469 ,3436 ,3074 ,2615 ,2073 ,1647 ,1234 ,910 ,648 ,445 ,283 ,167 ,146 ,10602 ,8692 ,7077 ,6494 ,4652 ,3274 ,2236 ,1734 ,1697 ,1569 ,1412 ,1183 ,866 ,630 ,450 ,280 ,220 ,20751 ,17024 ,13625 ,12492 ,9121 ,6709 ,5310 ,4349 ,3771 ,3215 ,2646 ,2094 ,1514 ,1076 ,733 ,447 ,366 
Lac Wey,TD0801,Lac Wey,LAC WEY,<Null>,<Null>,Logone Occidental,TD08,Tchad,TD,250957 ,245795 ,496752 ,48514 ,39755 ,33489 ,28437 ,21157 ,16758 ,14988 ,12588 ,9327 ,7217 ,5765 ,4453 ,3261 ,2293 ,1478 ,863 ,614 ,50683 ,41467 ,33167 ,27914 ,21030 ,16335 ,13013 ,10430 ,8098 ,6449 ,5208 ,4110 ,3168 ,2258 ,1267 ,672 ,526 ,99197 ,81222 ,66656 ,56351 ,42188 ,33092 ,28001 ,23018 ,17425 ,13666 ,10973 ,8563 ,6429 ,4551 ,2746 ,1535 ,1140 
Dodjé,TD0802,Dodje,DODJE,<Null>,<Null>,Logone Occidental,TD08,Tchad,TD,80522 ,78865 ,159387 ,15566 ,12756 ,10745 ,9124 ,6788 ,5377 ,4809 ,4039 ,2993 ,2316 ,1850 ,1429 ,1046 ,736 ,474 ,277 ,197 ,16262 ,13305 ,10642 ,8956 ,6748 ,5241 ,4175 ,3347 ,2598 ,2069 ,1671 ,1319 ,1016 ,724 ,407 ,216 ,169 ,31828 ,26060 ,21387 ,18080 ,13536 ,10618 ,8984 ,7385 ,5591 ,4385 ,3521 ,2747 ,2063 ,1460 ,881 ,493 ,366 
Guéni,TD0803,Gueni,GUENI,<Null>,<Null>,Logone Occidental,TD08,Tchad,TD,69657 ,68226 ,137883 ,13466 ,11035 ,9296 ,7893 ,5873 ,4651 ,4160 ,3494 ,2589 ,2003 ,1600 ,1236 ,905 ,636 ,410 ,240 ,170 ,14068 ,11510 ,9206 ,7748 ,5837 ,4534 ,3612 ,2895 ,2248 ,1790 ,1446 ,1141 ,879 ,627 ,352 ,187 ,146 ,27534 ,22545 ,18502 ,15641 ,11710 ,9185 ,7772 ,6389 ,4837 ,3793 ,3046 ,2377 ,1785 ,1263 ,762 ,426 ,316 
Ngourkosso,TD0804,Ngourkosso,NGOURKOSSO,<Null>,<Null>,Logone Occidental,TD08,Tchad,TD,120497 ,118019 ,238516 ,23294 ,19089 ,16080 ,13654 ,10159 ,8046 ,7196 ,6044 ,4478 ,3465 ,2768 ,2138 ,1566 ,1101 ,710 ,414 ,295 ,24336 ,19911 ,15925 ,13403 ,10098 ,7843 ,6248 ,5008 ,3888 ,3097 ,2501 ,1973 ,1521 ,1084 ,608 ,323 ,252 ,47631 ,39000 ,32006 ,27057 ,20257 ,15890 ,13445 ,11052 ,8367 ,6562 ,5269 ,4111 ,3087 ,2185 ,1318 ,737 ,547 
