,date,CS,ADMIN0,ADMIN1,ADMIN2
1407,2019-02-01,2.0,Ethiopia,SNNPR,South Omo
1949,2019-02-01,1.0,Ethiopia,Amhara,South Wollo
1951,2019-02-01,1.0,Ethiopia,Amhara,Argoba
5059,2019-02-01,1.0,Ethiopia,Amhara,Wag Himra
1953,2019-02-01,1.0,Ethiopia,Oromia,West Arsi
1956,2019-02-01,1.0,Ethiopia,Oromia,West Shewa
1958,2019-02-01,1.0,Ethiopia,Tigray,West Tigray
1959,2019-02-01,1.0,Ethiopia,SNNPR,Wolayita
1960,2019-02-01,1.0,Ethiopia,SNNPR,Yem
1417,2019-02-01,2.0,Ethiopia,Afar,Gabi
1419,2019-02-01,2.0,Ethiopia,Afar,Khari
1965,2019-02-01,1.0,Ethiopia,Tigray,Northwest Tigray
1970,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
1975,2019-02-01,1.0,Ethiopia,Oromia,South West Shewa
1978,2019-02-01,1.0,Ethiopia,SNNPR,Hadiya
1979,2019-02-01,1.0,Ethiopia,SNNPR,Silltie
1980,2019-02-01,1.0,Ethiopia,Oromia,North Shewa
1393,2019-02-01,2.0,Ethiopia,Harari,Harari
1977,2019-02-01,1.0,Ethiopia,Amhara,North Gondar
1954,2019-02-01,1.0,Ethiopia,Amhara,West Gojam
1923,2019-02-01,1.0,Ethiopia,Amhara,Awi
1968,2019-02-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
1974,2019-02-01,1.0,Ethiopia,Addis Ababa,Region 14
31,2010-10-01,2.0,Ethiopia,SNNPR,Segen
32,2010-10-01,2.0,Ethiopia,Oromia,Bale
34,2010-10-01,2.0,Ethiopia,Oromia,Borena
43,2010-10-01,2.0,Ethiopia,Somali,Jarar
4094,2010-10-01,1.0,Ethiopia,Oromia,East Wellega
49,2010-10-01,2.0,Ethiopia,SNNPR,Gedeo
4097,2010-10-01,1.0,Ethiopia,Oromia,Gujii
4101,2010-10-01,1.0,Ethiopia,Oromia,Ilubabor
54,2010-10-01,2.0,Ethiopia,Somali,Fafan
4104,2010-10-01,1.0,Ethiopia,Oromia,Kelem
59,2010-10-01,2.0,Ethiopia,Somali,Korahe
60,2010-10-01,2.0,Ethiopia,Somali,Liben
63,2010-10-01,2.0,Ethiopia,Amhara,North Wollo
436,2010-10-01,3.0,Ethiopia,Gambela,Nuer
65,2010-10-01,2.0,Ethiopia,Somali,Sitti
442,2010-10-01,3.0,Ethiopia,Tigray,South Tigray
445,2010-10-01,3.0,Ethiopia,Oromia,West Hararge
4114,2010-10-01,1.0,Ethiopia,Oromia,West Wellega
79,2010-10-01,2.0,Ethiopia,Afar,Awusi
450,2010-10-01,3.0,Ethiopia,Afar,Fanti
83,2010-10-01,2.0,Ethiopia,Somali,Shebelle
453,2010-10-01,3.0,Ethiopia,Gambela,Itang
4118,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
454,2010-10-01,3.0,Ethiopia,Gambela,Agniwak
455,2010-10-01,3.0,Ethiopia,Oromia,East Hararge
456,2010-10-01,3.0,Ethiopia,Tigray,East Tigray
4123,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
4124,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
459,2010-10-01,3.0,Ethiopia,Afar,Kilbati
93,2010-10-01,2.0,Ethiopia,Somali,Nogob
95,2010-10-01,2.0,Ethiopia,Somali,Dollo
4084,2010-10-01,1.0,Ethiopia,SNNPR,Sheka
35,2010-10-01,2.0,Ethiopia,SNNPR,Sidama
36,2010-10-01,2.0,Ethiopia,Somali,Afder
416,2010-10-01,3.0,Ethiopia,SNNPR,Alaba
38,2010-10-01,2.0,Ethiopia,Oromia,Arsi
39,2010-10-01,2.0,Ethiopia,SNNPR,Basketo
4090,2010-10-01,1.0,Ethiopia,SNNPR,Bench Maji
419,2010-10-01,3.0,Ethiopia,Tigray,Central Tigray
42,2010-10-01,2.0,Ethiopia,SNNPR,Dawro
6765,2010-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa
4092,2010-10-01,1.0,Ethiopia,Amhara,East Gojam
423,2010-10-01,3.0,Ethiopia,Oromia,East Shewa
424,2010-10-01,3.0,Ethiopia,SNNPR,Gamo Gofa
51,2010-10-01,2.0,Ethiopia,SNNPR,Gurage
4100,2010-10-01,1.0,Ethiopia,Oromia,Horo Guduru
4102,2010-10-01,1.0,Ethiopia,Oromia,Jimma
56,2010-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
4103,2010-10-01,1.0,Ethiopia,SNNPR,Keffa
58,2010-10-01,2.0,Ethiopia,SNNPR,Konta
4106,2010-10-01,1.0,Ethiopia,Gambela,Mezhenger
434,2010-10-01,3.0,Ethiopia,Amhara,North Shewa
64,2010-10-01,2.0,Ethiopia,Amhara,Oromia
4108,2010-10-01,1.0,Ethiopia,Amhara,South Gondar
67,2010-10-01,2.0,Ethiopia,SNNPR,South Omo
68,2010-10-01,2.0,Ethiopia,Amhara,South Wollo
70,2010-10-01,2.0,Ethiopia,Amhara,Argoba
443,2010-10-01,3.0,Ethiopia,Amhara,Wag Himra
4111,2010-10-01,1.0,Ethiopia,Oromia,West Arsi
74,2010-10-01,2.0,Ethiopia,Oromia,West Shewa
4115,2010-10-01,1.0,Ethiopia,Tigray,West Tigray
77,2010-10-01,2.0,Ethiopia,SNNPR,Wolayita
4116,2010-10-01,1.0,Ethiopia,SNNPR,Yem
80,2010-10-01,2.0,Ethiopia,Afar,Gabi
82,2010-10-01,2.0,Ethiopia,Afar,Khari
84,2010-10-01,2.0,Ethiopia,Tigray,Northwest Tigray
87,2010-10-01,2.0,Ethiopia,Benshangul Gumuz,Asosa
4126,2010-10-01,1.0,Ethiopia,Oromia,South West Shewa
92,2010-10-01,2.0,Ethiopia,SNNPR,Hadiya
463,2010-10-01,3.0,Ethiopia,SNNPR,Silltie
96,2010-10-01,2.0,Ethiopia,Oromia,North Shewa
4099,2010-10-01,1.0,Ethiopia,Harari,Harari
4127,2010-10-01,1.0,Ethiopia,Amhara,North Gondar
4112,2010-10-01,1.0,Ethiopia,Amhara,West Gojam
4088,2010-10-01,1.0,Ethiopia,Amhara,Awi
4119,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6782,2010-10-01,99.0,Ethiopia,Addis Ababa,Region 14
97,2014-07-01,1.0,Ethiopia,SNNPR,Segen
3039,2014-07-01,2.0,Ethiopia,Oromia,Bale
3998,2014-07-01,2.0,Ethiopia,Oromia,Borena
3045,2014-07-01,2.0,Ethiopia,Somali,Jarar
2378,2014-07-01,1.0,Ethiopia,Oromia,East Wellega
2380,2014-07-01,1.0,Ethiopia,SNNPR,Gedeo
4008,2014-07-01,2.0,Ethiopia,Oromia,Gujii
2384,2014-07-01,1.0,Ethiopia,Oromia,Ilubabor
4010,2014-07-01,2.0,Ethiopia,Somali,Fafan
2388,2014-07-01,1.0,Ethiopia,Oromia,Kelem
3050,2014-07-01,2.0,Ethiopia,Somali,Korahe
4012,2014-07-01,2.0,Ethiopia,Somali,Liben
3053,2014-07-01,2.0,Ethiopia,Amhara,North Wollo
2392,2014-07-01,1.0,Ethiopia,Gambela,Nuer
4016,2014-07-01,2.0,Ethiopia,Somali,Sitti
4020,2014-07-01,2.0,Ethiopia,Tigray,South Tigray
4023,2014-07-01,2.0,Ethiopia,Oromia,West Hararge
2400,2014-07-01,1.0,Ethiopia,Oromia,West Wellega
4025,2014-07-01,2.0,Ethiopia,Afar,Awusi
4027,2014-07-01,2.0,Ethiopia,Afar,Fanti
4029,2014-07-01,2.0,Ethiopia,Somali,Shebelle
2406,2014-07-01,1.0,Ethiopia,Gambela,Itang
2407,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
2409,2014-07-01,1.0,Ethiopia,Gambela,Agniwak
4032,2014-07-01,2.0,Ethiopia,Oromia,East Hararge
4977,2014-07-01,3.0,Ethiopia,Tigray,East Tigray
2411,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
2412,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
4978,2014-07-01,3.0,Ethiopia,Afar,Kilbati
3072,2014-07-01,2.0,Ethiopia,Somali,Nogob
4039,2014-07-01,2.0,Ethiopia,Somali,Dollo
2366,2014-07-01,1.0,Ethiopia,SNNPR,Sheka
2368,2014-07-01,1.0,Ethiopia,SNNPR,Sidama
4000,2014-07-01,2.0,Ethiopia,Somali,Afder
2369,2014-07-01,1.0,Ethiopia,SNNPR,Alaba
2370,2014-07-01,1.0,Ethiopia,Oromia,Arsi
2372,2014-07-01,1.0,Ethiopia,SNNPR,Basketo
2373,2014-07-01,1.0,Ethiopia,SNNPR,Bench Maji
4955,2014-07-01,3.0,Ethiopia,Tigray,Central Tigray
2375,2014-07-01,1.0,Ethiopia,SNNPR,Dawro
4004,2014-07-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
2376,2014-07-01,1.0,Ethiopia,Amhara,East Gojam
2377,2014-07-01,1.0,Ethiopia,Oromia,East Shewa
2379,2014-07-01,1.0,Ethiopia,SNNPR,Gamo Gofa
2382,2014-07-01,1.0,Ethiopia,SNNPR,Gurage
2383,2014-07-01,1.0,Ethiopia,Oromia,Horo Guduru
2385,2014-07-01,1.0,Ethiopia,Oromia,Jimma
2386,2014-07-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
2387,2014-07-01,1.0,Ethiopia,SNNPR,Keffa
2389,2014-07-01,1.0,Ethiopia,SNNPR,Konta
2390,2014-07-01,1.0,Ethiopia,Gambela,Mezhenger
2391,2014-07-01,1.0,Ethiopia,Amhara,North Shewa
3054,2014-07-01,2.0,Ethiopia,Amhara,Oromia
2393,2014-07-01,1.0,Ethiopia,Amhara,South Gondar
3057,2014-07-01,2.0,Ethiopia,SNNPR,South Omo
3058,2014-07-01,2.0,Ethiopia,Amhara,South Wollo
3060,2014-07-01,2.0,Ethiopia,Amhara,Argoba
4964,2014-07-01,3.0,Ethiopia,Amhara,Wag Himra
4022,2014-07-01,2.0,Ethiopia,Oromia,West Arsi
2399,2014-07-01,1.0,Ethiopia,Oromia,West Shewa
2401,2014-07-01,1.0,Ethiopia,Tigray,West Tigray
2402,2014-07-01,1.0,Ethiopia,SNNPR,Wolayita
2403,2014-07-01,1.0,Ethiopia,SNNPR,Yem
4026,2014-07-01,2.0,Ethiopia,Afar,Gabi
4028,2014-07-01,2.0,Ethiopia,Afar,Khari
2405,2014-07-01,1.0,Ethiopia,Tigray,Northwest Tigray
2410,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
2414,2014-07-01,1.0,Ethiopia,Oromia,South West Shewa
2416,2014-07-01,1.0,Ethiopia,SNNPR,Hadiya
2417,2014-07-01,1.0,Ethiopia,SNNPR,Silltie
2418,2014-07-01,1.0,Ethiopia,Oromia,North Shewa
4009,2014-07-01,2.0,Ethiopia,Harari,Harari
2415,2014-07-01,1.0,Ethiopia,Amhara,North Gondar
2397,2014-07-01,1.0,Ethiopia,Amhara,West Gojam
2371,2014-07-01,1.0,Ethiopia,Amhara,Awi
2408,2014-07-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6971,2014-07-01,99.0,Ethiopia,Addis Ababa,Region 14
223,2010-01-01,3.0,Ethiopia,SNNPR,Segen
224,2010-01-01,3.0,Ethiopia,Oromia,Bale
225,2010-01-01,3.0,Ethiopia,Oromia,Borena
230,2010-01-01,3.0,Ethiopia,Somali,Jarar
6125,2010-01-01,1.0,Ethiopia,Oromia,East Wellega
120,2010-01-01,2.0,Ethiopia,SNNPR,Gedeo
232,2010-01-01,3.0,Ethiopia,Oromia,Gujii
6131,2010-01-01,1.0,Ethiopia,Oromia,Ilubabor
125,2010-01-01,2.0,Ethiopia,Somali,Fafan
6134,2010-01-01,1.0,Ethiopia,Oromia,Kelem
237,2010-01-01,3.0,Ethiopia,Somali,Korahe
238,2010-01-01,3.0,Ethiopia,Somali,Liben
130,2010-01-01,2.0,Ethiopia,Amhara,North Wollo
240,2010-01-01,3.0,Ethiopia,Gambela,Nuer
132,2010-01-01,2.0,Ethiopia,Somali,Sitti
136,2010-01-01,2.0,Ethiopia,Tigray,South Tigray
140,2010-01-01,2.0,Ethiopia,Oromia,West Hararge
6145,2010-01-01,1.0,Ethiopia,Oromia,West Wellega
248,2010-01-01,3.0,Ethiopia,Afar,Awusi
250,2010-01-01,3.0,Ethiopia,Afar,Fanti
252,2010-01-01,3.0,Ethiopia,Somali,Shebelle
254,2010-01-01,3.0,Ethiopia,Gambela,Itang
6151,2010-01-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
255,2010-01-01,3.0,Ethiopia,Gambela,Agniwak
151,2010-01-01,2.0,Ethiopia,Oromia,East Hararge
152,2010-01-01,2.0,Ethiopia,Tigray,East Tigray
6155,2010-01-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
6156,2010-01-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
258,2010-01-01,3.0,Ethiopia,Afar,Kilbati
260,2010-01-01,3.0,Ethiopia,Somali,Nogob
261,2010-01-01,3.0,Ethiopia,Somali,Dollo
6114,2010-01-01,1.0,Ethiopia,SNNPR,Sheka
108,2010-01-01,2.0,Ethiopia,SNNPR,Sidama
226,2010-01-01,3.0,Ethiopia,Somali,Afder
110,2010-01-01,2.0,Ethiopia,SNNPR,Alaba
111,2010-01-01,2.0,Ethiopia,Oromia,Arsi
6120,2010-01-01,1.0,Ethiopia,SNNPR,Basketo
6121,2010-01-01,1.0,Ethiopia,SNNPR,Bench Maji
113,2010-01-01,2.0,Ethiopia,Tigray,Central Tigray
114,2010-01-01,2.0,Ethiopia,SNNPR,Dawro
116,2010-01-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
6123,2010-01-01,1.0,Ethiopia,Amhara,East Gojam
118,2010-01-01,2.0,Ethiopia,Oromia,East Shewa
119,2010-01-01,2.0,Ethiopia,SNNPR,Gamo Gofa
122,2010-01-01,2.0,Ethiopia,SNNPR,Gurage
6130,2010-01-01,1.0,Ethiopia,Oromia,Horo Guduru
6132,2010-01-01,1.0,Ethiopia,Oromia,Jimma
127,2010-01-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
6133,2010-01-01,1.0,Ethiopia,SNNPR,Keffa
6135,2010-01-01,1.0,Ethiopia,SNNPR,Konta
6136,2010-01-01,1.0,Ethiopia,Gambela,Mezhenger
129,2010-01-01,2.0,Ethiopia,Amhara,North Shewa
131,2010-01-01,2.0,Ethiopia,Amhara,Oromia
133,2010-01-01,2.0,Ethiopia,Amhara,South Gondar
243,2010-01-01,3.0,Ethiopia,SNNPR,South Omo
135,2010-01-01,2.0,Ethiopia,Amhara,South Wollo
137,2010-01-01,2.0,Ethiopia,Amhara,Argoba
246,2010-01-01,3.0,Ethiopia,Amhara,Wag Himra
139,2010-01-01,2.0,Ethiopia,Oromia,West Arsi
141,2010-01-01,2.0,Ethiopia,Oromia,West Shewa
6146,2010-01-01,1.0,Ethiopia,Tigray,West Tigray
143,2010-01-01,2.0,Ethiopia,SNNPR,Wolayita
6147,2010-01-01,1.0,Ethiopia,SNNPR,Yem
146,2010-01-01,2.0,Ethiopia,Afar,Gabi
148,2010-01-01,2.0,Ethiopia,Afar,Khari
149,2010-01-01,2.0,Ethiopia,Tigray,Northwest Tigray
6154,2010-01-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
6158,2010-01-01,1.0,Ethiopia,Oromia,South West Shewa
156,2010-01-01,2.0,Ethiopia,SNNPR,Hadiya
158,2010-01-01,2.0,Ethiopia,SNNPR,Silltie
6161,2010-01-01,1.0,Ethiopia,Oromia,North Shewa
123,2010-01-01,2.0,Ethiopia,Harari,Harari
6159,2010-01-01,1.0,Ethiopia,Amhara,North Gondar
6143,2010-01-01,1.0,Ethiopia,Amhara,West Gojam
6119,2010-01-01,1.0,Ethiopia,Amhara,Awi
6152,2010-01-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
7017,2010-01-01,99.0,Ethiopia,Addis Ababa,Region 14
160,2009-10-01,3.0,Ethiopia,SNNPR,Segen
161,2009-10-01,3.0,Ethiopia,Oromia,Bale
162,2009-10-01,3.0,Ethiopia,Oromia,Borena
4702,2009-10-01,4.0,Ethiopia,Somali,Jarar
6222,2009-10-01,1.0,Ethiopia,Oromia,East Wellega
177,2009-10-01,3.0,Ethiopia,SNNPR,Gedeo
178,2009-10-01,3.0,Ethiopia,Oromia,Gujii
6228,2009-10-01,1.0,Ethiopia,Oromia,Ilubabor
182,2009-10-01,3.0,Ethiopia,Somali,Fafan
6231,2009-10-01,1.0,Ethiopia,Oromia,Kelem
4704,2009-10-01,4.0,Ethiopia,Somali,Korahe
187,2009-10-01,3.0,Ethiopia,Somali,Liben
189,2009-10-01,3.0,Ethiopia,Amhara,North Wollo
190,2009-10-01,3.0,Ethiopia,Gambela,Nuer
192,2009-10-01,3.0,Ethiopia,Somali,Sitti
196,2009-10-01,3.0,Ethiopia,Tigray,South Tigray
200,2009-10-01,3.0,Ethiopia,Oromia,West Hararge
6241,2009-10-01,1.0,Ethiopia,Oromia,West Wellega
205,2009-10-01,3.0,Ethiopia,Afar,Awusi
207,2009-10-01,3.0,Ethiopia,Afar,Fanti
4708,2009-10-01,4.0,Ethiopia,Somali,Shebelle
211,2009-10-01,3.0,Ethiopia,Gambela,Itang
6247,2009-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
212,2009-10-01,3.0,Ethiopia,Gambela,Agniwak
213,2009-10-01,3.0,Ethiopia,Oromia,East Hararge
214,2009-10-01,3.0,Ethiopia,Tigray,East Tigray
6251,2009-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
6252,2009-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
217,2009-10-01,3.0,Ethiopia,Afar,Kilbati
4711,2009-10-01,4.0,Ethiopia,Somali,Nogob
4712,2009-10-01,4.0,Ethiopia,Somali,Dollo
6211,2009-10-01,1.0,Ethiopia,SNNPR,Sheka
163,2009-10-01,3.0,Ethiopia,SNNPR,Sidama
4701,2009-10-01,4.0,Ethiopia,Somali,Afder
165,2009-10-01,3.0,Ethiopia,SNNPR,Alaba
166,2009-10-01,3.0,Ethiopia,Oromia,Arsi
6217,2009-10-01,1.0,Ethiopia,SNNPR,Basketo
6218,2009-10-01,1.0,Ethiopia,SNNPR,Bench Maji
6262,2009-10-01,2.0,Ethiopia,Tigray,Central Tigray
6263,2009-10-01,2.0,Ethiopia,SNNPR,Dawro
6264,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
6220,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
6221,2009-10-01,1.0,Ethiopia,Oromia,East Shewa
176,2009-10-01,3.0,Ethiopia,SNNPR,Gamo Gofa
179,2009-10-01,3.0,Ethiopia,SNNPR,Gurage
6227,2009-10-01,1.0,Ethiopia,Oromia,Horo Guduru
6229,2009-10-01,1.0,Ethiopia,Oromia,Jimma
184,2009-10-01,3.0,Ethiopia,SNNPR,Kembata Tembaro
6230,2009-10-01,1.0,Ethiopia,SNNPR,Keffa
6232,2009-10-01,1.0,Ethiopia,SNNPR,Konta
6233,2009-10-01,1.0,Ethiopia,Gambela,Mezhenger
6276,2009-10-01,2.0,Ethiopia,Amhara,North Shewa
191,2009-10-01,3.0,Ethiopia,Amhara,Oromia
6235,2009-10-01,1.0,Ethiopia,Amhara,South Gondar
194,2009-10-01,3.0,Ethiopia,SNNPR,South Omo
195,2009-10-01,3.0,Ethiopia,Amhara,South Wollo
197,2009-10-01,3.0,Ethiopia,Amhara,Argoba
198,2009-10-01,3.0,Ethiopia,Amhara,Wag Himra
199,2009-10-01,3.0,Ethiopia,Oromia,West Arsi
6287,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
6242,2009-10-01,1.0,Ethiopia,Tigray,West Tigray
203,2009-10-01,3.0,Ethiopia,SNNPR,Wolayita
6243,2009-10-01,1.0,Ethiopia,SNNPR,Yem
6292,2009-10-01,2.0,Ethiopia,Afar,Gabi
208,2009-10-01,3.0,Ethiopia,Afar,Khari
6294,2009-10-01,2.0,Ethiopia,Tigray,Northwest Tigray
6250,2009-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
6254,2009-10-01,1.0,Ethiopia,Oromia,South West Shewa
219,2009-10-01,3.0,Ethiopia,SNNPR,Hadiya
221,2009-10-01,3.0,Ethiopia,SNNPR,Silltie
6257,2009-10-01,1.0,Ethiopia,Oromia,North Shewa
6270,2009-10-01,2.0,Ethiopia,Harari,Harari
6255,2009-10-01,1.0,Ethiopia,Amhara,North Gondar
6239,2009-10-01,1.0,Ethiopia,Amhara,West Gojam
6216,2009-10-01,1.0,Ethiopia,Amhara,Awi
6248,2009-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
7028,2009-10-01,99.0,Ethiopia,Addis Ababa,Region 14
313,2018-10-01,1.0,Ethiopia,SNNPR,Segen
263,2018-10-01,2.0,Ethiopia,Oromia,Bale
264,2018-10-01,2.0,Ethiopia,Oromia,Borena
2458,2018-10-01,3.0,Ethiopia,Somali,Jarar
328,2018-10-01,1.0,Ethiopia,Oromia,East Wellega
2460,2018-10-01,3.0,Ethiopia,SNNPR,Gedeo
331,2018-10-01,1.0,Ethiopia,Oromia,Gujii
334,2018-10-01,1.0,Ethiopia,Oromia,Ilubabor
279,2018-10-01,2.0,Ethiopia,Somali,Fafan
338,2018-10-01,1.0,Ethiopia,Oromia,Kelem
2466,2018-10-01,3.0,Ethiopia,Somali,Korahe
283,2018-10-01,2.0,Ethiopia,Somali,Liben
285,2018-10-01,2.0,Ethiopia,Amhara,North Wollo
343,2018-10-01,1.0,Ethiopia,Gambela,Nuer
287,2018-10-01,2.0,Ethiopia,Somali,Sitti
291,2018-10-01,2.0,Ethiopia,Tigray,South Tigray
2471,2018-10-01,3.0,Ethiopia,Oromia,West Hararge
355,2018-10-01,1.0,Ethiopia,Oromia,West Wellega
299,2018-10-01,2.0,Ethiopia,Afar,Awusi
301,2018-10-01,2.0,Ethiopia,Afar,Fanti
303,2018-10-01,2.0,Ethiopia,Somali,Shebelle
364,2018-10-01,1.0,Ethiopia,Gambela,Itang
365,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
367,2018-10-01,1.0,Ethiopia,Gambela,Agniwak
2480,2018-10-01,3.0,Ethiopia,Oromia,East Hararge
307,2018-10-01,2.0,Ethiopia,Tigray,East Tigray
369,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
370,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
2484,2018-10-01,3.0,Ethiopia,Afar,Kilbati
2485,2018-10-01,3.0,Ethiopia,Somali,Nogob
2486,2018-10-01,3.0,Ethiopia,Somali,Dollo
315,2018-10-01,1.0,Ethiopia,SNNPR,Sheka
317,2018-10-01,1.0,Ethiopia,SNNPR,Sidama
266,2018-10-01,2.0,Ethiopia,Somali,Afder
319,2018-10-01,1.0,Ethiopia,SNNPR,Alaba
320,2018-10-01,1.0,Ethiopia,Oromia,Arsi
322,2018-10-01,1.0,Ethiopia,SNNPR,Basketo
323,2018-10-01,1.0,Ethiopia,SNNPR,Bench Maji
270,2018-10-01,2.0,Ethiopia,Tigray,Central Tigray
325,2018-10-01,1.0,Ethiopia,SNNPR,Dawro
272,2018-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
326,2018-10-01,1.0,Ethiopia,Amhara,East Gojam
327,2018-10-01,1.0,Ethiopia,Oromia,East Shewa
329,2018-10-01,1.0,Ethiopia,SNNPR,Gamo Gofa
332,2018-10-01,1.0,Ethiopia,SNNPR,Gurage
333,2018-10-01,1.0,Ethiopia,Oromia,Horo Guduru
335,2018-10-01,1.0,Ethiopia,Oromia,Jimma
336,2018-10-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
337,2018-10-01,1.0,Ethiopia,SNNPR,Keffa
339,2018-10-01,1.0,Ethiopia,SNNPR,Konta
340,2018-10-01,1.0,Ethiopia,Gambela,Mezhenger
341,2018-10-01,1.0,Ethiopia,Amhara,North Shewa
344,2018-10-01,1.0,Ethiopia,Amhara,Oromia
288,2018-10-01,2.0,Ethiopia,Amhara,South Gondar
289,2018-10-01,2.0,Ethiopia,SNNPR,South Omo
