,date,ML2,ADMIN0,ADMIN1,ADMIN2
4621,2010-10-01,3.0,Ethiopia,Somali,Dollo
90,2010-10-01,2.0,Ethiopia,Oromia,North Shewa
5944,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5947,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5948,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5949,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
5924,2010-10-01,1.0,Ethiopia,Oromia,Ilubabor
5943,2010-10-01,1.0,Ethiopia,Gambela,Itang
5910,2010-10-01,1.0,Ethiopia,SNNPR,Sheka
5913,2010-10-01,1.0,Ethiopia,Amhara,Awi
5927,2010-10-01,1.0,Ethiopia,Oromia,Kelem
5929,2010-10-01,1.0,Ethiopia,Gambela,Mezhenger
5936,2010-10-01,1.0,Ethiopia,Amhara,West Gojam
5939,2010-10-01,1.0,Ethiopia,Oromia,West Wellega
5941,2010-10-01,1.0,Ethiopia,SNNPR,Yem
5945,2010-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6534,2010-10-01,99.0,Ethiopia,Addis Ababa,Region 14
2403,2012-01-01,3.0,Ethiopia,SNNPR,Segen
2404,2012-01-01,3.0,Ethiopia,Oromia,Bale
93,2012-01-01,4.0,Ethiopia,Oromia,Borena
5849,2012-01-01,2.0,Ethiopia,SNNPR,Sidama
2407,2012-01-01,3.0,Ethiopia,Somali,Afder
5854,2012-01-01,2.0,Ethiopia,SNNPR,Basketo
5685,2012-01-01,1.0,Ethiopia,SNNPR,Bench Maji
2418,2012-01-01,3.0,Ethiopia,SNNPR,Gamo Gofa
5863,2012-01-01,2.0,Ethiopia,SNNPR,Gedeo
96,2012-01-01,4.0,Ethiopia,Oromia,Gujii
5697,2012-01-01,1.0,Ethiopia,SNNPR,Keffa
5699,2012-01-01,1.0,Ethiopia,SNNPR,Konta
2429,2012-01-01,3.0,Ethiopia,Somali,Liben
2431,2012-01-01,3.0,Ethiopia,Amhara,North Wollo
5875,2012-01-01,2.0,Ethiopia,Gambela,Nuer
5876,2012-01-01,2.0,Ethiopia,Amhara,Oromia
5878,2012-01-01,2.0,Ethiopia,Amhara,South Gondar
2436,2012-01-01,3.0,Ethiopia,SNNPR,South Omo
5880,2012-01-01,2.0,Ethiopia,Amhara,South Wollo
5881,2012-01-01,2.0,Ethiopia,Tigray,South Tigray
2440,2012-01-01,3.0,Ethiopia,Amhara,Wag Himra
5707,2012-01-01,1.0,Ethiopia,Oromia,West Arsi
5885,2012-01-01,2.0,Ethiopia,Oromia,West Hararge
5888,2012-01-01,2.0,Ethiopia,Afar,Awusi
5890,2012-01-01,2.0,Ethiopia,Afar,Fanti
2449,2012-01-01,3.0,Ethiopia,Somali,Shebelle
5721,2012-01-01,1.0,Ethiopia,Gambela,Agniwak
5898,2012-01-01,2.0,Ethiopia,Oromia,East Hararge
5899,2012-01-01,2.0,Ethiopia,Tigray,East Tigray
2457,2012-01-01,3.0,Ethiopia,Afar,Kilbati
2460,2012-01-01,3.0,Ethiopia,Somali,Nogob
5851,2012-01-01,2.0,Ethiopia,SNNPR,Alaba
5683,2012-01-01,1.0,Ethiopia,Oromia,Arsi
5856,2012-01-01,2.0,Ethiopia,Tigray,Central Tigray
5686,2012-01-01,1.0,Ethiopia,SNNPR,Dawro
2414,2012-01-01,3.0,Ethiopia,Somali,Jarar
6660,2012-01-01,99.0,Ethiopia,Dire Dawa,Dire Dawa
5687,2012-01-01,1.0,Ethiopia,Amhara,East Gojam
5688,2012-01-01,1.0,Ethiopia,Oromia,East Shewa
5689,2012-01-01,1.0,Ethiopia,Oromia,East Wellega
5693,2012-01-01,1.0,Ethiopia,SNNPR,Gurage
6662,2012-01-01,99.0,Ethiopia,Harari,Harari
5694,2012-01-01,1.0,Ethiopia,Oromia,Horo Guduru
2423,2012-01-01,3.0,Ethiopia,Somali,Fafan
5696,2012-01-01,1.0,Ethiopia,Oromia,Jimma
2425,2012-01-01,3.0,Ethiopia,SNNPR,Kembata Tembaro
2428,2012-01-01,3.0,Ethiopia,Somali,Korahe
5701,2012-01-01,1.0,Ethiopia,Amhara,North Shewa
2434,2012-01-01,3.0,Ethiopia,Somali,Sitti
5882,2012-01-01,2.0,Ethiopia,Amhara,Argoba
5710,2012-01-01,1.0,Ethiopia,Oromia,West Shewa
5712,2012-01-01,1.0,Ethiopia,Tigray,West Tigray
2443,2012-01-01,3.0,Ethiopia,SNNPR,Wolayita
5889,2012-01-01,2.0,Ethiopia,Afar,Gabi
5891,2012-01-01,2.0,Ethiopia,Afar,Khari
5893,2012-01-01,2.0,Ethiopia,Tigray,Northwest Tigray
5726,2012-01-01,1.0,Ethiopia,Oromia,South West Shewa
5727,2012-01-01,1.0,Ethiopia,Amhara,North Gondar
2459,2012-01-01,3.0,Ethiopia,SNNPR,Hadiya
5906,2012-01-01,2.0,Ethiopia,SNNPR,Silltie
2462,2012-01-01,3.0,Ethiopia,Somali,Dollo
5730,2012-01-01,1.0,Ethiopia,Oromia,North Shewa
5719,2012-01-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5722,2012-01-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5723,2012-01-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5724,2012-01-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
5695,2012-01-01,1.0,Ethiopia,Oromia,Ilubabor
5718,2012-01-01,1.0,Ethiopia,Gambela,Itang
5680,2012-01-01,1.0,Ethiopia,SNNPR,Sheka
5684,2012-01-01,1.0,Ethiopia,Amhara,Awi
5698,2012-01-01,1.0,Ethiopia,Oromia,Kelem
5700,2012-01-01,1.0,Ethiopia,Gambela,Mezhenger
5708,2012-01-01,1.0,Ethiopia,Amhara,West Gojam
5711,2012-01-01,1.0,Ethiopia,Oromia,West Wellega
5714,2012-01-01,1.0,Ethiopia,SNNPR,Yem
5720,2012-01-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6670,2012-01-01,99.0,Ethiopia,Addis Ababa,Region 14
3147,2011-10-01,3.0,Ethiopia,SNNPR,Segen
107,2011-10-01,4.0,Ethiopia,Oromia,Bale
108,2011-10-01,4.0,Ethiopia,Oromia,Borena
5793,2011-10-01,2.0,Ethiopia,SNNPR,Sidama
3151,2011-10-01,3.0,Ethiopia,Somali,Afder
5797,2011-10-01,2.0,Ethiopia,SNNPR,Basketo
5633,2011-10-01,1.0,Ethiopia,SNNPR,Bench Maji
3160,2011-10-01,3.0,Ethiopia,SNNPR,Gamo Gofa
5806,2011-10-01,2.0,Ethiopia,SNNPR,Gedeo
113,2011-10-01,4.0,Ethiopia,Oromia,Gujii
5645,2011-10-01,1.0,Ethiopia,SNNPR,Keffa
5647,2011-10-01,1.0,Ethiopia,SNNPR,Konta
116,2011-10-01,4.0,Ethiopia,Somali,Liben
3171,2011-10-01,3.0,Ethiopia,Amhara,North Wollo
3172,2011-10-01,3.0,Ethiopia,Gambela,Nuer
5818,2011-10-01,2.0,Ethiopia,Amhara,Oromia
5820,2011-10-01,2.0,Ethiopia,Amhara,South Gondar
117,2011-10-01,4.0,Ethiopia,SNNPR,South Omo
5822,2011-10-01,2.0,Ethiopia,Amhara,South Wollo
5823,2011-10-01,2.0,Ethiopia,Tigray,South Tigray
3180,2011-10-01,3.0,Ethiopia,Amhara,Wag Himra
5655,2011-10-01,1.0,Ethiopia,Oromia,West Arsi
5827,2011-10-01,2.0,Ethiopia,Oromia,West Hararge
5830,2011-10-01,2.0,Ethiopia,Afar,Awusi
5832,2011-10-01,2.0,Ethiopia,Afar,Fanti
119,2011-10-01,4.0,Ethiopia,Somali,Shebelle
5669,2011-10-01,1.0,Ethiopia,Gambela,Agniwak
5836,2011-10-01,2.0,Ethiopia,Oromia,East Hararge
5837,2011-10-01,2.0,Ethiopia,Tigray,East Tigray
3194,2011-10-01,3.0,Ethiopia,Afar,Kilbati
125,2011-10-01,4.0,Ethiopia,Somali,Nogob
5795,2011-10-01,2.0,Ethiopia,SNNPR,Alaba
5631,2011-10-01,1.0,Ethiopia,Oromia,Arsi
5799,2011-10-01,2.0,Ethiopia,Tigray,Central Tigray
5634,2011-10-01,1.0,Ethiopia,SNNPR,Dawro
3158,2011-10-01,3.0,Ethiopia,Somali,Jarar
6641,2011-10-01,99.0,Ethiopia,Dire Dawa,Dire Dawa
5635,2011-10-01,1.0,Ethiopia,Amhara,East Gojam
5636,2011-10-01,1.0,Ethiopia,Oromia,East Shewa
5637,2011-10-01,1.0,Ethiopia,Oromia,East Wellega
5641,2011-10-01,1.0,Ethiopia,SNNPR,Gurage
6643,2011-10-01,99.0,Ethiopia,Harari,Harari
5642,2011-10-01,1.0,Ethiopia,Oromia,Horo Guduru
5810,2011-10-01,2.0,Ethiopia,Somali,Fafan
5644,2011-10-01,1.0,Ethiopia,Oromia,Jimma
3166,2011-10-01,3.0,Ethiopia,SNNPR,Kembata Tembaro
3168,2011-10-01,3.0,Ethiopia,Somali,Korahe
5649,2011-10-01,1.0,Ethiopia,Amhara,North Shewa
5819,2011-10-01,2.0,Ethiopia,Somali,Sitti
5824,2011-10-01,2.0,Ethiopia,Amhara,Argoba
5658,2011-10-01,1.0,Ethiopia,Oromia,West Shewa
5660,2011-10-01,1.0,Ethiopia,Tigray,West Tigray
3182,2011-10-01,3.0,Ethiopia,SNNPR,Wolayita
5831,2011-10-01,2.0,Ethiopia,Afar,Gabi
5833,2011-10-01,2.0,Ethiopia,Afar,Khari
5834,2011-10-01,2.0,Ethiopia,Tigray,Northwest Tigray
5674,2011-10-01,1.0,Ethiopia,Oromia,South West Shewa
5675,2011-10-01,1.0,Ethiopia,Amhara,North Gondar
3196,2011-10-01,3.0,Ethiopia,SNNPR,Hadiya
5844,2011-10-01,2.0,Ethiopia,SNNPR,Silltie
126,2011-10-01,4.0,Ethiopia,Somali,Dollo
5678,2011-10-01,1.0,Ethiopia,Oromia,North Shewa
5667,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
5670,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
5671,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
5672,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
5643,2011-10-01,1.0,Ethiopia,Oromia,Ilubabor
5666,2011-10-01,1.0,Ethiopia,Gambela,Itang
5628,2011-10-01,1.0,Ethiopia,SNNPR,Sheka
5632,2011-10-01,1.0,Ethiopia,Amhara,Awi
5646,2011-10-01,1.0,Ethiopia,Oromia,Kelem
5648,2011-10-01,1.0,Ethiopia,Gambela,Mezhenger
5656,2011-10-01,1.0,Ethiopia,Amhara,West Gojam
5659,2011-10-01,1.0,Ethiopia,Oromia,West Wellega
5662,2011-10-01,1.0,Ethiopia,SNNPR,Yem
5668,2011-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
6650,2011-10-01,99.0,Ethiopia,Addis Ababa,Region 14
272,2018-10-01,1.0,Ethiopia,SNNPR,Segen
3118,2018-10-01,3.0,Ethiopia,Oromia,Bale
275,2018-10-01,1.0,Ethiopia,Oromia,Borena
276,2018-10-01,1.0,Ethiopia,SNNPR,Sidama
131,2018-10-01,2.0,Ethiopia,Somali,Afder
281,2018-10-01,1.0,Ethiopia,SNNPR,Basketo
282,2018-10-01,1.0,Ethiopia,SNNPR,Bench Maji
288,2018-10-01,1.0,Ethiopia,SNNPR,Gamo Gofa
3124,2018-10-01,3.0,Ethiopia,SNNPR,Gedeo
290,2018-10-01,1.0,Ethiopia,Oromia,Gujii
296,2018-10-01,1.0,Ethiopia,SNNPR,Keffa
298,2018-10-01,1.0,Ethiopia,SNNPR,Konta
148,2018-10-01,2.0,Ethiopia,Somali,Liben
301,2018-10-01,1.0,Ethiopia,Amhara,North Wollo
302,2018-10-01,1.0,Ethiopia,Gambela,Nuer
303,2018-10-01,1.0,Ethiopia,Amhara,Oromia
304,2018-10-01,1.0,Ethiopia,Amhara,South Gondar
305,2018-10-01,1.0,Ethiopia,SNNPR,South Omo
306,2018-10-01,1.0,Ethiopia,Amhara,South Wollo
307,2018-10-01,1.0,Ethiopia,Tigray,South Tigray
156,2018-10-01,2.0,Ethiopia,Amhara,Wag Himra
310,2018-10-01,1.0,Ethiopia,Oromia,West Arsi
3134,2018-10-01,3.0,Ethiopia,Oromia,West Hararge
161,2018-10-01,2.0,Ethiopia,Afar,Awusi
163,2018-10-01,2.0,Ethiopia,Afar,Fanti
165,2018-10-01,2.0,Ethiopia,Somali,Shebelle
327,2018-10-01,1.0,Ethiopia,Gambela,Agniwak
3140,2018-10-01,3.0,Ethiopia,Oromia,East Hararge
329,2018-10-01,1.0,Ethiopia,Tigray,East Tigray
3144,2018-10-01,3.0,Ethiopia,Afar,Kilbati
174,2018-10-01,2.0,Ethiopia,Somali,Nogob
132,2018-10-01,2.0,Ethiopia,SNNPR,Alaba
279,2018-10-01,1.0,Ethiopia,Oromia,Arsi
283,2018-10-01,1.0,Ethiopia,Tigray,Central Tigray
284,2018-10-01,1.0,Ethiopia,SNNPR,Dawro
3122,2018-10-01,3.0,Ethiopia,Somali,Jarar
138,2018-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
285,2018-10-01,1.0,Ethiopia,Amhara,East Gojam
286,2018-10-01,1.0,Ethiopia,Oromia,East Shewa
287,2018-10-01,1.0,Ethiopia,Oromia,East Wellega
291,2018-10-01,1.0,Ethiopia,SNNPR,Gurage
143,2018-10-01,2.0,Ethiopia,Harari,Harari
292,2018-10-01,1.0,Ethiopia,Oromia,Horo Guduru
144,2018-10-01,2.0,Ethiopia,Somali,Fafan
294,2018-10-01,1.0,Ethiopia,Oromia,Jimma
295,2018-10-01,1.0,Ethiopia,SNNPR,Kembata Tembaro
147,2018-10-01,2.0,Ethiopia,Somali,Korahe
300,2018-10-01,1.0,Ethiopia,Amhara,North Shewa
152,2018-10-01,2.0,Ethiopia,Somali,Sitti
308,2018-10-01,1.0,Ethiopia,Amhara,Argoba
313,2018-10-01,1.0,Ethiopia,Oromia,West Shewa
315,2018-10-01,1.0,Ethiopia,Tigray,West Tigray
316,2018-10-01,1.0,Ethiopia,SNNPR,Wolayita
162,2018-10-01,2.0,Ethiopia,Afar,Gabi
164,2018-10-01,2.0,Ethiopia,Afar,Khari
323,2018-10-01,1.0,Ethiopia,Tigray,Northwest Tigray
333,2018-10-01,1.0,Ethiopia,Oromia,South West Shewa
335,2018-10-01,1.0,Ethiopia,Amhara,North Gondar
336,2018-10-01,1.0,Ethiopia,SNNPR,Hadiya
175,2018-10-01,2.0,Ethiopia,SNNPR,Silltie
3146,2018-10-01,3.0,Ethiopia,Somali,Dollo
338,2018-10-01,1.0,Ethiopia,Oromia,North Shewa
325,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Mao-Komo
328,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Asosa
330,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Kemashi
331,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Metekel
293,2018-10-01,1.0,Ethiopia,Oromia,Ilubabor
324,2018-10-01,1.0,Ethiopia,Gambela,Itang
274,2018-10-01,1.0,Ethiopia,SNNPR,Sheka
280,2018-10-01,1.0,Ethiopia,Amhara,Awi
297,2018-10-01,1.0,Ethiopia,Oromia,Kelem
299,2018-10-01,1.0,Ethiopia,Gambela,Mezhenger
311,2018-10-01,1.0,Ethiopia,Amhara,West Gojam
314,2018-10-01,1.0,Ethiopia,Oromia,West Wellega
317,2018-10-01,1.0,Ethiopia,SNNPR,Yem
326,2018-10-01,1.0,Ethiopia,Benshangul Gumuz,Pawe
332,2018-10-01,1.0,Ethiopia,Addis Ababa,Region 14
178,2009-10-01,3.0,Ethiopia,SNNPR,Segen
179,2009-10-01,3.0,Ethiopia,Oromia,Bale
180,2009-10-01,3.0,Ethiopia,Oromia,Borena
4007,2009-10-01,2.0,Ethiopia,SNNPR,Sidama
181,2009-10-01,3.0,Ethiopia,Somali,Afder
6056,2009-10-01,1.0,Ethiopia,SNNPR,Basketo
4012,2009-10-01,2.0,Ethiopia,SNNPR,Bench Maji
4019,2009-10-01,2.0,Ethiopia,SNNPR,Gamo Gofa
4020,2009-10-01,2.0,Ethiopia,SNNPR,Gedeo
188,2009-10-01,3.0,Ethiopia,Oromia,Gujii
6070,2009-10-01,1.0,Ethiopia,SNNPR,Keffa
6072,2009-10-01,1.0,Ethiopia,SNNPR,Konta
192,2009-10-01,3.0,Ethiopia,Somali,Liben
4033,2009-10-01,2.0,Ethiopia,Amhara,North Wollo
195,2009-10-01,3.0,Ethiopia,Gambela,Nuer
4035,2009-10-01,2.0,Ethiopia,Amhara,Oromia
4037,2009-10-01,2.0,Ethiopia,Amhara,South Gondar
4038,2009-10-01,2.0,Ethiopia,SNNPR,South Omo
4039,2009-10-01,2.0,Ethiopia,Amhara,South Wollo
4040,2009-10-01,2.0,Ethiopia,Tigray,South Tigray
4042,2009-10-01,2.0,Ethiopia,Amhara,Wag Himra
4043,2009-10-01,2.0,Ethiopia,Oromia,West Arsi
4044,2009-10-01,2.0,Ethiopia,Oromia,West Hararge
203,2009-10-01,3.0,Ethiopia,Afar,Awusi
205,2009-10-01,3.0,Ethiopia,Afar,Fanti
207,2009-10-01,3.0,Ethiopia,Somali,Shebelle
209,2009-10-01,3.0,Ethiopia,Gambela,Agniwak
4057,2009-10-01,2.0,Ethiopia,Oromia,East Hararge
4058,2009-10-01,2.0,Ethiopia,Tigray,East Tigray
212,2009-10-01,3.0,Ethiopia,Afar,Kilbati
213,2009-10-01,3.0,Ethiopia,Somali,Nogob
4009,2009-10-01,2.0,Ethiopia,SNNPR,Alaba
4010,2009-10-01,2.0,Ethiopia,Oromia,Arsi
4013,2009-10-01,2.0,Ethiopia,Tigray,Central Tigray
4014,2009-10-01,2.0,Ethiopia,SNNPR,Dawro
184,2009-10-01,3.0,Ethiopia,Somali,Jarar
4016,2009-10-01,2.0,Ethiopia,Dire Dawa,Dire Dawa
6060,2009-10-01,1.0,Ethiopia,Amhara,East Gojam
4018,2009-10-01,2.0,Ethiopia,Oromia,East Shewa
6062,2009-10-01,1.0,Ethiopia,Oromia,East Wellega
4022,2009-10-01,2.0,Ethiopia,SNNPR,Gurage
4023,2009-10-01,2.0,Ethiopia,Harari,Harari
6067,2009-10-01,1.0,Ethiopia,Oromia,Horo Guduru
190,2009-10-01,3.0,Ethiopia,Somali,Fafan
6069,2009-10-01,1.0,Ethiopia,Oromia,Jimma
4027,2009-10-01,2.0,Ethiopia,SNNPR,Kembata Tembaro
191,2009-10-01,3.0,Ethiopia,Somali,Korahe
4032,2009-10-01,2.0,Ethiopia,Amhara,North Shewa
197,2009-10-01,3.0,Ethiopia,Somali,Sitti
4041,2009-10-01,2.0,Ethiopia,Amhara,Argoba
4045,2009-10-01,2.0,Ethiopia,Oromia,West Shewa
6082,2009-10-01,1.0,Ethiopia,Tigray,West Tigray
4047,2009-10-01,2.0,Ethiopia,SNNPR,Wolayita
204,2009-10-01,3.0,Ethiopia,Afar,Gabi
