,date,ADMIN0,ADMIN1,ADMIN2,ML2
5696,2012-01-01,Ethiopia,Oromia,Jimma,1.0
2425,2012-01-01,Ethiopia,SNNPR,Kembata Tembaro,3.0
2428,2012-01-01,Ethiopia,Somali,Korahe,3.0
5701,2012-01-01,Ethiopia,Amhara,North Shewa,1.0
2434,2012-01-01,Ethiopia,Somali,Sitti,3.0
5882,2012-01-01,Ethiopia,Amhara,Argoba,2.0
5710,2012-01-01,Ethiopia,Oromia,West Shewa,1.0
5712,2012-01-01,Ethiopia,Tigray,West Tigray,1.0
2443,2012-01-01,Ethiopia,SNNPR,Wolayita,3.0
5889,2012-01-01,Ethiopia,Afar,Gabi,2.0
5891,2012-01-01,Ethiopia,Afar,Khari,2.0
5893,2012-01-01,Ethiopia,Tigray,Northwest Tigray,2.0
5726,2012-01-01,Ethiopia,Oromia,South West Shewa,1.0
5727,2012-01-01,Ethiopia,Amhara,North Gondar,1.0
2459,2012-01-01,Ethiopia,SNNPR,Hadiya,3.0
5906,2012-01-01,Ethiopia,SNNPR,Silltie,2.0
2462,2012-01-01,Ethiopia,Somali,Dollo,3.0
5719,2012-01-01,Ethiopia,Benshangul Gumuz,Mao-Komo,1.0
5722,2012-01-01,Ethiopia,Benshangul Gumuz,Asosa,1.0
5723,2012-01-01,Ethiopia,Benshangul Gumuz,Kemashi,1.0
5724,2012-01-01,Ethiopia,Benshangul Gumuz,Metekel,1.0
5695,2012-01-01,Ethiopia,Oromia,Ilubabor,1.0
5718,2012-01-01,Ethiopia,Gambela,Itang,1.0
5680,2012-01-01,Ethiopia,SNNPR,Sheka,1.0
5684,2012-01-01,Ethiopia,Amhara,Awi,1.0
5698,2012-01-01,Ethiopia,Oromia,Kelem,1.0
5700,2012-01-01,Ethiopia,Gambela,Mezhenger,1.0
5708,2012-01-01,Ethiopia,Amhara,West Gojam,1.0
5711,2012-01-01,Ethiopia,Oromia,West Wellega,1.0
5714,2012-01-01,Ethiopia,SNNPR,Yem,1.0
5720,2012-01-01,Ethiopia,Benshangul Gumuz,Pawe,1.0
6670,2012-01-01,Ethiopia,Addis Ababa,Region 14,99.0
3147,2011-10-01,Ethiopia,SNNPR,Segen,3.0
107,2011-10-01,Ethiopia,Oromia,Bale,4.0
108,2011-10-01,Ethiopia,Oromia,Borena,4.0
5793,2011-10-01,Ethiopia,SNNPR,Sidama,2.0
3151,2011-10-01,Ethiopia,Somali,Afder,3.0
5797,2011-10-01,Ethiopia,SNNPR,Basketo,2.0
5633,2011-10-01,Ethiopia,SNNPR,Bench Maji,1.0
3160,2011-10-01,Ethiopia,SNNPR,Gamo Gofa,3.0
