date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
2009-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,510.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,595.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,547.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,542.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,570.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,563.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,513.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,552.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,559.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,558.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,556.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,576.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2010-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,584.5,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,442.66,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,401.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,481.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,545.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,551.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,664.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,768.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,683.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2011-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,683.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,689.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,750.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,767.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,767.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,816.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,1001.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,1002.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,994.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,1002.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2012-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,939.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,1002.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,823.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,829.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,859.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,885.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,988.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,1033.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,1039.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,1052.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,1106.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2013-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,991.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,903.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,876.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,870.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,864.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,864.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,927.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,954.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,954.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,897.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,853.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2014-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,885.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,894.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,883.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,822.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,842.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,854.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,882.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,850.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,1007.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2015-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,979.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,1004.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,1016.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,1012.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,1042.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,1014.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,1037.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,1046.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,1060.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,1065.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,1057.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,1031.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2016-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,1000.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,943.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,915.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,648.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-04-15,Sorghum - Wholesale,100 KG,cereals and tubers,974.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,966.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,991.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,1010.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,1042.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,1036.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,1015.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,1007.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2017-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,982.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-01-15,Sorghum - Wholesale,100 KG,cereals and tubers,981.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-02-15,Sorghum - Wholesale,100 KG,cereals and tubers,1013.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-03-15,Sorghum - Wholesale,100 KG,cereals and tubers,1127.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-05-15,Sorghum - Wholesale,100 KG,cereals and tubers,1114.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-06-15,Sorghum - Wholesale,100 KG,cereals and tubers,1141.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,1214.25,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2018-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,1487.1667,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2019-07-15,Sorghum - Wholesale,100 KG,cereals and tubers,1643.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2019-08-15,Sorghum - Wholesale,100 KG,cereals and tubers,1702.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2019-09-15,Sorghum - Wholesale,100 KG,cereals and tubers,1790.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2019-10-15,Sorghum - Wholesale,100 KG,cereals and tubers,1923.6667,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2019-11-15,Sorghum - Wholesale,100 KG,cereals and tubers,1929.5,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2019-12-15,Sorghum - Wholesale,100 KG,cereals and tubers,1813.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,65,14,9,1,480_65_14_9,
2000-01-15,Maize (white) - Wholesale,100 KG,cereals and tubers,120.75,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-02-15,Maize (white) - Wholesale,100 KG,cereals and tubers,125.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-03-15,Maize (white) - Wholesale,100 KG,cereals and tubers,130.5,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-04-15,Maize (white) - Wholesale,100 KG,cereals and tubers,132.75,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-05-15,Maize (white) - Wholesale,100 KG,cereals and tubers,125.0,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-06-15,Maize (white) - Wholesale,100 KG,cereals and tubers,128.5,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-07-15,Maize (white) - Wholesale,100 KG,cereals and tubers,125.33,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-08-15,Maize (white) - Wholesale,100 KG,cereals and tubers,125.75,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
2000-09-15,Maize (white) - Wholesale,100 KG,cereals and tubers,115.25,ETB,Ethiopia,Addis Ababa,1227,Addis Ababa,480,67,14,9,1,480_67_14_9,
